"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",12313,10312,1060,445,496
"Empleado (001)",1806,582,544,333,347
"Obrero (002)",1489,1048,211,94,136
"Trabajador independiente (003)",5887,5715,172,,
"Empleador o patrono (004)",157,128,18,7,4
"Trabajador familiar no remunerado (005)",2804,2669,115,11,9
"Trabajador del hogar (006)",170,170,,,
"De 06 a 14 años (008)",179,176,3,,
"Empleado (009)",5,5,,,
"Obrero (010)",18,17,1,,
"Trabajador independiente (011)",7,7,,,
"Trabajador familiar no remunerado (013)",143,141,2,,
"Trabajador del hogar (014)",6,6,,,
"De 15 a 29 años (016)",3575,2987,300,90,198
"Empleado (017)",548,241,111,52,144
"Obrero (018)",528,352,94,32,50
"Trabajador independiente (019)",1296,1243,53,,
"Empleador o patrono (020)",35,27,5,1,2
"Trabajador familiar no remunerado (021)",1079,1035,37,5,2
"Trabajador del hogar (022)",89,89,,,
"De 30 a 44 años (024)",4262,3354,481,240,187
"Empleado (025)",837,225,295,184,133
"Obrero (026)",499,328,73,47,51
"Trabajador independiente (027)",2111,2040,71,,
"Empleador o patrono (028)",50,39,5,5,1
"Trabajador familiar no remunerado (029)",721,678,37,4,2
"Trabajador del hogar (030)",44,44,,,
"De 45 a 64 años (032)",3173,2725,233,111,104
"Empleado (033)",397,103,131,96,67
"Obrero (034)",332,251,34,15,32
"Trabajador independiente (035)",1759,1723,36,,
"Empleador o patrono (036)",54,48,5,,1
"Trabajador familiar no remunerado (037)",611,580,27,,4
"Trabajador del hogar (038)",20,20,,,
"De 65 y más años (040)",1124,1070,43,4,7
"Empleado (041)",19,8,7,1,3
"Obrero (042)",112,100,9,,3
"Trabajador independiente (043)",714,702,12,,
"Empleador o patrono (044)",18,14,3,1,
"Trabajador familiar no remunerado (045)",250,235,12,2,1
"Trabajador del hogar (046)",11,11,,,
,,,,,
"URBANA (048)",7842,6201,827,409,405
"Empleado (049)",1517,457,454,312,294
"Obrero (050)",1188,841,164,80,103
"Trabajador independiente (051)",3298,3168,130,,
"Empleador o patrono (052)",129,106,14,6,3
"Trabajador familiar no remunerado (053)",1562,1481,65,11,5
"Trabajador del hogar (054)",148,148,,,
"De 06 a 14 años (056)",110,107,3,,
