"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia YUNGUYO (000)",45237,8521,1214,17394,14297,1009,986,766,1050
"Quechua (001)",252,20,1,93,87,12,18,6,15
"Aymara (002)",30691,6872,429,12756,9139,444,410,275,366
"Ashaninca (003)",57,17,1,16,18,2,1,1,1
"Otra lengua nativa (004)",18,,1,6,8,1,,1,1
"Castellano (005)",14177,1583,782,4519,5045,550,557,483,658
"Idioma extranjero (006)",10,,,1,,,,,9
"Es sordomudo/a (007)",32,29,,3,,,,,
"Hombres (009)",22259,2542,580,8562,8195,616,591,497,676
"Quechua (010)",127,6,,40,45,7,13,6,10
"Aymara (011)",14779,1746,199,6258,5511,292,291,194,288
"Ashaninca (012)",24,3,,6,12,1,,1,1
"Otra lengua nativa (013)",10,,,4,4,1,,1,
"Castellano (014)",7298,773,381,2253,2623,315,287,295,371
"Idioma extranjero (015)",6,,,,,,,,6
"Es sordomudo/a (016)",15,14,,1,,,,,
"Mujeres (018)",22978,5979,634,8832,6102,393,395,269,374
"Quechua (019)",125,14,1,53,42,5,5,,5
"Aymara (020)",15912,5126,230,6498,3628,152,119,81,78
"Ashaninca (021)",33,14,1,10,6,1,1,,
"Otra lengua nativa (022)",8,,1,2,4,,,,1
"Castellano (023)",6879,810,401,2266,2422,235,270,188,287
"Idioma extranjero (024)",4,,,1,,,,,3
"Es sordomudo/a (025)",17,15,,2,,,,,
,,,,,,,,,
"URBANA (027)",16533,1917,454,5503,5877,662,737,517,866
"Quechua (028)",169,14,1,60,54,7,16,4,13
"Aymara (029)",7165,1153,51,2776,2424,190,224,122,225
"Ashaninca (030)",15,3,,3,4,2,1,1,1
"Otra lengua nativa (031)",16,,1,5,7,1,,1,1
"Castellano (032)",9154,744,401,2656,3388,462,496,389,618
"Idioma extranjero (033)",8,,,,,,,,8
"Es sordomudo/a (034)",6,3,,3,,,,,
"Hombres (036)",8115,593,221,2522,3136,390,409,321,523
"Quechua (037)",86,5,,26,27,4,11,4,9
"Aymara (038)",3397,227,24,1197,1416,126,154,84,169
"Ashaninca (039)",3,,,,,1,,1,1
"Otra lengua nativa (040)",10,,,4,4,1,,1,
"Castellano (041)",4613,361,197,1294,1689,258,244,231,339
"Idioma extranjero (042)",5,,,,,,,,5
"Es sordomudo/a (043)",1,,,1,,,,,
"Mujeres (045)",8418,1324,233,2981,2741,272,328,196,343
"Quechua (046)",83,9,1,34,27,3,5,,4
"Aymara (047)",3768,926,27,1579,1008,64,70,38,56
"Ashaninca (048)",12,3,,3,4,1,1,,
"Otra lengua nativa (049)",6,,1,1,3,,,,1
"Castellano (050)",4541,383,204,1362,1699,204,252,158,279
"Idioma extranjero (051)",3,,,,,,,,3
"Es sordomudo/a (052)",5,3,,2,,,,,
,,,,,,,,,
"RURAL (054)",28704,6604,760,11891,8420,347,249,249,184
"Quechua (055)",83,6,,33,33,5,2,2,2
"Aymara (056)",23526,5719,378,9980,6715,254,186,153,141
"Ashaninca (057)",42,14,1,13,14,,,,
"Otra lengua nativa (058)",2,,,1,1,,,,
"Castellano (059)",5023,839,381,1863,1657,88,61,94,40
"Idioma extranjero (060)",2,,,1,,,,,1
"Es sordomudo/a (061)",26,26,,,,,,,
"Hombres (063)",14144,1949,359,6040,5059,226,182,176,153
"Quechua (064)",41,1,,14,18,3,2,2,1
"Aymara (065)",11382,1519,175,5061,4095,166,137,110,119
"Ashaninca (066)",21,3,,6,12,,,,
"Castellano (068)",2685,412,184,959,934,57,43,64,32
"Idioma extranjero (069)",1,,,,,,,,1
"Es sordomudo/a (070)",14,14,,,,,,,
"Mujeres (072)",14560,4655,401,5851,3361,121,67,73,31
"Quechua (073)",42,5,,19,15,2,,,1
"Aymara (074)",12144,4200,203,4919,2620,88,49,43,22
"Ashaninca (075)",21,11,1,7,2,,,,
"Otra lengua nativa (076)",2,,,1,1,,,,
"Castellano (077)",2338,427,197,904,723,31,18,30,8
"Idioma extranjero (078)",1,,,1,,,,,
"Es sordomudo/a (079)",12,12,,,,,,,
