"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CAMANA (000)",19735,19039,5636,3122,3488,2419,2377,1090,560,347,696,43419
"De 12 a 14 años (001)",1665,1654,1647,6,1,,,,,,11,8
"De 15 a 19 años (002)",2432,2405,2158,227,17,3,,,,,27,270
"De 20 a 24 años (003)",2414,2173,998,834,284,46,11,,,,241,1587
"De 25 a 29 años (004)",2149,1967,326,764,619,199,54,5,,,182,2855
"De 30 a 34 años (005)",1989,1919,139,485,742,361,171,17,4,,70,3922
"De 35 a 39 años (006)",1939,1897,97,289,648,475,325,51,7,5,42,4850
"De 40 a 44 años (007)",1669,1634,70,176,442,441,364,120,16,5,35,4901
"De 45 a 49 años (008)",1419,1395,48,126,292,317,414,145,43,10,24,4880
"De 50 y más años (009)",4059,3995,153,215,443,577,1038,752,490,327,64,20146
"PEA (010)",7632,7296,1408,1457,1677,1106,995,410,174,69,336,17314
"De 12 a 14 años (011)",52,52,52,,,,,,,,,
"De 15 a 19 años (012)",466,463,399,57,5,2,,,,,3,73
"De 20 a 24 años (013)",997,893,460,327,87,14,5,,,,104,565
"De 25 a 29 años (014)",1051,941,214,355,274,74,22,2,,,110,1229
"De 30 a 34 años (015)",1052,1010,105,285,368,163,81,7,1,,42,1908
"De 35 a 39 años (016)",1033,1006,59,164,366,237,151,25,2,2,27,2446
"De 40 a 44 años (017)",901,885,36,107,226,249,199,54,11,3,16,2633
"De 45 a 49 años (018)",778,762,27,81,164,166,217,85,16,6,16,2610
"De 50 y más años (019)",1302,1284,56,81,187,201,320,237,144,58,18,5850
"Ocupada (020)",7279,6970,1290,1393,1619,1070,964,396,169,69,309,16753
"De 12 a 14 años (021)",49,49,49,,,,,,,,,
"De 15 a 19 años (022)",425,422,364,52,4,2,,,,,3,66
