"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia HUANCABAMBA",,,,,,,,,
"Viviendas particulares (001)",28586,3598,1354,1053,55,3289,18389,635,213
"Ocupantes presentes (002)",123735,14750,5617,4507,213,14292,81366,2145,845
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",28025,3562,1313,1026,53,3252,18001,610,208
"Ocupantes presentes (005)",121579,14595,5488,4423,204,14147,79818,2071,833
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",32,19,13,,,,,,
"Ocupantes presentes (011)",121,72,49,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",51,15,28,,,4,3,1,
"Ocupantes presentes (014)",194,79,80,,,18,13,4,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",457,,,20,2,32,378,23,2
"Ocupantes presentes (017)",1779,,,58,9,126,1512,67,7
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",10,,,6,,1,,1,2
"Ocupantes presentes (020)",32,,,24,,1,,3,4
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",9,2,,1,,,5,,1
"Ocupantes presentes (023)",19,4,,2,,,12,,1
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",2,,,,,,2,,
"Ocupantes presentes (026)",11,,,,,,11,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",3864,2540,361,86,,222,292,329,34
"Ocupantes presentes (029)",15078,10092,1462,315,,803,1233,1065,108
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",3768,2504,320,80,,217,288,327,32
"Ocupantes presentes (032)",14722,9937,1333,291,,784,1215,1058,104
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",32,19,13,,,,,,
"Ocupantes presentes (038)",121,72,49,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",51,15,28,,,4,3,1,
"Ocupantes presentes (041)",194,79,80,,,18,13,4,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",10,,,6,,1,,1,2
"Ocupantes presentes (047)",32,,,24,,1,,3,4
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,2,,,,,,,
"Ocupantes presentes (050)",4,4,,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",1,,,,,,1,,
"Ocupantes presentes (053)",5,,,,,,5,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",24722,1058,993,967,55,3067,18097,306,179
"Ocupantes presentes (056)",108657,4658,4155,4192,213,13489,80133,1080,737
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",24257,1058,993,946,53,3035,17713,283,176
"Ocupantes presentes (059)",106857,4658,4155,4132,204,13363,78603,1013,729
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",457,,,20,2,32,378,23,2
"Ocupantes presentes (071)",1779,,,58,9,126,1512,67,7
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",7,,,1,,,5,,1
"Ocupantes presentes (077)",15,,,2,,,12,,1
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,,,,,,1,,
"Ocupantes presentes (080)",6,,,,,,6,,
