"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia YAULI (000)",17621,16958,5042,2710,2853,2048,2405,1097,803,663
"Católica (001)",14372,13834,4128,2222,2363,1662,1927,891,641,538
"Cristiana/Evangélica (002)",2733,2631,712,408,424,338,419,182,148,102
"Otra (003)",306,292,99,42,49,33,41,19,9,14
"Ninguna (004)",210,201,103,38,17,15,18,5,5,9
,,,,,,,,,,
"URBANA (006)",15723,15159,4503,2460,2642,1882,2133,916,623,564
"Católica (007)",12707,12253,3639,1998,2183,1513,1695,738,487,454
"Cristiana/Evangélica (008)",2512,2424,667,386,393,323,379,154,122,88
"Otra (009)",299,286,96,41,49,31,41,19,9,13
"Ninguna (010)",205,196,101,35,17,15,18,5,5,9
,,,,,,,,,,
"RURAL (012)",1898,1799,539,250,211,166,272,181,180,99
"Católica (013)",1665,1581,489,224,180,149,232,153,154,84
"Cristiana/Evangélica (014)",221,207,45,22,31,15,40,28,26,14
"Otra (015)",7,6,3,1,,2,,,,1
"Ninguna (016)",5,5,2,3,,,,,,
