"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CASMA (000)",39908,5263,1010,13628,13529,1330,1919,1246,1983
"Quechua (001)",5517,1884,44,2619,742,38,83,46,61
"Aymara (002)",29,6,,11,4,3,,2,3
"Ashaninca (003)",2,,,2,,,,,
"Otra lengua nativa (004)",13,1,,7,3,2,,,
"Castellano (005)",34299,3341,966,10979,12775,1287,1835,1198,1918
"Idioma extranjero (006)",6,,,,4,,1,,1
"Es sordomudo/a (007)",42,31,,10,1,,,,
"Hombres (009)",20429,1978,532,7167,7559,667,876,632,1018
"Quechua (010)",2629,491,26,1482,485,18,51,34,42
"Aymara (011)",17,1,,6,2,3,,2,3
"Ashaninca (012)",1,,,1,,,,,
"Otra lengua nativa (013)",6,,,4,1,1,,,
"Castellano (014)",17753,1473,506,5667,7069,645,824,596,973
"Idioma extranjero (015)",2,,,,1,,1,,
"Es sordomudo/a (016)",21,13,,7,1,,,,
"Mujeres (018)",19479,3285,478,6461,5970,663,1043,614,965
"Quechua (019)",2888,1393,18,1137,257,20,32,12,19
"Aymara (020)",12,5,,5,2,,,,
"Ashaninca (021)",1,,,1,,,,,
"Otra lengua nativa (022)",7,1,,3,2,1,,,
"Castellano (023)",16546,1868,460,5312,5706,642,1011,602,945
"Idioma extranjero (024)",4,,,,3,,,,1
"Es sordomudo/a (025)",21,18,,3,,,,,
,,,,,,,,,
"URBANA (027)",27770,3041,759,8368,9732,1151,1724,1139,1856
"Quechua (028)",2659,856,19,1137,436,36,75,42,58
"Aymara (029)",25,4,,11,2,3,,2,3
"Ashaninca (030)",2,,,2,,,,,
"Otra lengua nativa (031)",12,,,7,3,2,,,
"Castellano (032)",25041,2165,740,7202,9287,1110,1648,1095,1794
"Idioma extranjero (033)",6,,,,4,,1,,1
"Es sordomudo/a (034)",25,16,,9,,,,,
"Hombres (036)",14007,1156,401,4256,5338,559,769,579,949
"Quechua (037)",1217,183,11,625,266,16,45,32,39
"Aymara (038)",16,1,,6,1,3,,2,3
"Ashaninca (039)",1,,,1,,,,,
"Otra lengua nativa (040)",6,,,4,1,1,,,
"Castellano (041)",12752,965,390,3614,5069,539,723,545,907
"Idioma extranjero (042)",2,,,,1,,1,,
"Es sordomudo/a (043)",13,7,,6,,,,,
"Mujeres (045)",13763,1885,358,4112,4394,592,955,560,907
"Quechua (046)",1442,673,8,512,170,20,30,10,19
"Aymara (047)",9,3,,5,1,,,,
"Ashaninca (048)",1,,,1,,,,,
"Otra lengua nativa (049)",6,,,3,2,1,,,
"Castellano (050)",12289,1200,350,3588,4218,571,925,550,887
"Idioma extranjero (051)",4,,,,3,,,,1
"Es sordomudo/a (052)",12,9,,3,,,,,
,,,,,,,,,
"RURAL (054)",12138,2222,251,5260,3797,179,195,107,127
"Quechua (055)",2858,1028,25,1482,306,2,8,4,3
"Aymara (056)",4,2,,,2,,,,
"Otra lengua nativa (058)",1,1,,,,,,,
"Castellano (059)",9258,1176,226,3777,3488,177,187,103,124
"Es sordomudo/a (061)",17,15,,1,1,,,,
"Hombres (063)",6422,822,131,2911,2221,108,107,53,69
"Quechua (064)",1412,308,15,857,219,2,6,2,3
"Aymara (065)",1,,,,1,,,,
"Castellano (068)",5001,508,116,2053,2000,106,101,51,66
"Es sordomudo/a (070)",8,6,,1,1,,,,
"Mujeres (072)",5716,1400,120,2349,1576,71,88,54,58
"Quechua (073)",1446,720,10,625,87,,2,2,
"Aymara (074)",3,2,,,1,,,,
"Otra lengua nativa (076)",1,1,,,,,,,
"Castellano (077)",4257,668,110,1724,1488,71,86,52,58
"Es sordomudo/a (079)",9,9,,,,,,,
