"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia HUARMEY (000)",6602,5014,1588
"Red pública de desague dentro de la vivienda (001)",2992,2890,102
"Red pública de desague fuera de la vivienda (002)",249,238,11
"Pozo séptico (003)",168,108,60
"Pozo ciego o negro / letrina (004)",1234,783,451
"Río, acequia o canal (005)",84,38,46
"No tiene (006)",1875,957,918
,,,
"URBANA (008)",4818,4109,709
"Red pública de desague dentro de la vivienda (009)",2921,2831,90
"Red pública de desague fuera de la vivienda (010)",209,200,9
"Pozo séptico (011)",118,77,41
"Pozo ciego o negro / letrina (012)",596,400,196
"Río, acequia o canal (013)",29,17,12
"No tiene (014)",945,584,361
,,,
"RURAL (016)",1784,905,879
"Red pública de desague dentro de la vivienda (017)",71,59,12
"Red pública de desague fuera de la vivienda (018)",40,38,2
"Pozo séptico (019)",50,31,19
"Pozo ciego o negro / letrina (020)",638,383,255
"Río, acequia o canal (021)",55,21,34
"No tiene (022)",930,373,557
