"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia ILO",,,,,,
"Viviendas particulares (001)",17005,16412,512,73,8,
"Ocupantes presentes (002)",61077,56505,3666,798,108,
"Casa independiente",,,,,,
"Viviendas particulares (004)",15180,14629,477,66,8,
"Ocupantes presentes (005)",55449,51207,3414,720,108,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",1334,1300,27,7,,
"Ocupantes presentes (008)",4223,3944,201,78,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",44,41,3,,,
"Ocupantes presentes (011)",142,118,24,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",46,44,2,,,
"Ocupantes presentes (014)",121,111,10,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",11,11,,,,
"Ocupantes presentes (017)",28,28,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",360,357,3,,,
"Ocupantes presentes (020)",1055,1038,17,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",25,25,,,,
"Ocupantes presentes (023)",51,51,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",5,5,,,,
"Ocupantes presentes (026)",8,8,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",16906,16313,512,73,8,
"Ocupantes presentes (029)",60848,56276,3666,798,108,
"Casa independiente",,,,,,
"Viviendas particulares (031)",15093,14542,477,66,8,
"Ocupantes presentes (032)",55249,51007,3414,720,108,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",1334,1300,27,7,,
"Ocupantes presentes (035)",4223,3944,201,78,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",44,41,3,,,
"Ocupantes presentes (038)",142,118,24,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",46,44,2,,,
"Ocupantes presentes (041)",121,111,10,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",360,357,3,,,
"Ocupantes presentes (047)",1055,1038,17,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",24,24,,,,
"Ocupantes presentes (050)",50,50,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",5,5,,,,
"Ocupantes presentes (053)",8,8,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",99,99,,,,
"Ocupantes presentes (056)",229,229,,,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",87,87,,,,
"Ocupantes presentes (059)",200,200,,,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",11,11,,,,
"Ocupantes presentes (071)",28,28,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",1,1,,,,
"Ocupantes presentes (077)",1,1,,,,
"Otro tipo",,,,,,
