"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia PASCO (000)",93330,91568,1762
"Hombres (001)",47620,46954,666
"Mujeres (002)",45710,44614,1096
"De 18 a 29 años (003)",35972,35148,824
"Hombres (004)",18299,17888,411
"Mujeres (005)",17673,17260,413
"De 30 a 44 años (006)",31476,31278,198
"Hombres (007)",16291,16222,69
"Mujeres (008)",15185,15056,129
"De 45 a 64 años (009)",19481,19240,241
"Hombres (010)",10063,9993,70
"Mujeres (011)",9418,9247,171
"De 65 y más años (012)",6401,5902,499
"Hombres (013)",2967,2851,116
"Mujeres (014)",3434,3051,383
,,,
"URBANA (015)",71547,70456,1091
"Hombres (016)",35812,35389,423
"Mujeres (017)",35735,35067,668
"De 18 a 29 años (018)",27320,26738,582
"Hombres (019)",13617,13326,291
"Mujeres (020)",13703,13412,291
"De 30 a 44 años (021)",24581,24466,115
"Hombres (022)",12434,12390,44
"Mujeres (023)",12147,12076,71
"De 45 a 64 años (024)",15053,14934,119
"Hombres (025)",7683,7650,33
"Mujeres (026)",7370,7284,86
"De 65 y más años (027)",4593,4318,275
"Hombres (028)",2078,2023,55
"Mujeres (029)",2515,2295,220
,,,
"RURAL (030)",21783,21112,671
"Hombres (031)",11808,11565,243
"Mujeres (032)",9975,9547,428
"De 18 a 29 años (033)",8652,8410,242
"Hombres (034)",4682,4562,120
"Mujeres (035)",3970,3848,122
"De 30 a 44 años (036)",6895,6812,83
"Hombres (037)",3857,3832,25
"Mujeres (038)",3038,2980,58
"De 45 a 64 años (039)",4428,4306,122
"Hombres (040)",2380,2343,37
"Mujeres (041)",2048,1963,85
"De 65 y más años (042)",1808,1584,224
"Hombres (043)",889,828,61
"Mujeres (044)",919,756,163
