"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ASUNCION (000)",2278,1781,149,217,131
"Hombres (001)",1694,1348,102,160,84
"Mujeres (002)",584,433,47,57,47
"De 06 a 14 años (003)",24,22,1,1,
"Hombres (004)",16,14,1,1,
"Mujeres (005)",8,8,,,
"De 15 a 29 años (006)",646,489,46,57,54
"Hombres (007)",459,340,37,46,36
"Mujeres (008)",187,149,9,11,18
"De 30 a 44 años (009)",846,585,71,126,64
"Hombres (010)",614,450,40,85,39
"Mujeres (011)",232,135,31,41,25
"De 45 a 64 años (012)",555,483,30,32,10
"Hombres (013)",443,387,23,27,6
"Mujeres (014)",112,96,7,5,4
"De 65 y más años (015)",207,202,1,1,3
"Hombres (016)",162,157,1,1,3
"Mujeres (017)",45,45,,,
,,,,,
"URBANA (018)",821,492,72,156,101
"Hombres (019)",516,305,47,108,56
"Mujeres (020)",305,187,25,48,45
"De 06 a 14 años (021)",11,10,,1,
"Hombres (022)",7,6,,1,
"Mujeres (023)",4,4,,,
"De 15 a 29 años (024)",249,141,25,42,41
"Hombres (025)",155,79,20,32,24
"Mujeres (026)",94,62,5,10,17
"De 30 a 44 años (027)",369,196,31,91,51
"Hombres (028)",223,124,15,57,27
"Mujeres (029)",146,72,16,34,24
"De 45 a 64 años (030)",155,109,16,22,8
"Hombres (031)",108,74,12,18,4
"Mujeres (032)",47,35,4,4,4
"De 65 y más años (033)",37,36,,,1
"Hombres (034)",23,22,,,1
"Mujeres (035)",14,14,,,
,,,,,
"RURAL (036)",1457,1289,77,61,30
"Hombres (037)",1178,1043,55,52,28
"Mujeres (038)",279,246,22,9,2
"De 06 a 14 años (039)",13,12,1,,
"Hombres (040)",9,8,1,,
"Mujeres (041)",4,4,,,
"De 15 a 29 años (042)",397,348,21,15,13
"Hombres (043)",304,261,17,14,12
"Mujeres (044)",93,87,4,1,1
"De 30 a 44 años (045)",477,389,40,35,13
"Hombres (046)",391,326,25,28,12
"Mujeres (047)",86,63,15,7,1
"De 45 a 64 años (048)",400,374,14,10,2
"Hombres (049)",335,313,11,9,2
"Mujeres (050)",65,61,3,1,
"De 65 y más años (051)",170,166,1,1,2
"Hombres (052)",139,135,1,1,2
"Mujeres (053)",31,31,,,
