"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia JORGE BASADRE (000)",3171,2663,508
"Red pública de desague dentro de la vivienda (001)",1487,1457,30
"Red pública de desague fuera de la vivienda (002)",190,181,9
"Pozo séptico (003)",217,182,35
"Pozo ciego o negro / letrina (004)",470,368,102
"Río, acequia o canal (005)",75,68,7
"No tiene (006)",732,407,325
,,,
"URBANA (008)",1897,1787,110
"Red pública de desague dentro de la vivienda (009)",1445,1418,27
"Red pública de desague fuera de la vivienda (010)",186,177,9
"Pozo séptico (011)",39,35,4
"Pozo ciego o negro / letrina (012)",56,39,17
"Río, acequia o canal (013)",56,55,1
"No tiene (014)",115,63,52
,,,
"RURAL (016)",1274,876,398
"Red pública de desague dentro de la vivienda (017)",42,39,3
"Red pública de desague fuera de la vivienda (018)",4,4,
"Pozo séptico (019)",178,147,31
"Pozo ciego o negro / letrina (020)",414,329,85
"Río, acequia o canal (021)",19,13,6
"No tiene (022)",617,344,273
