"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia HUACAYBAMBA",,,,,,,,,
"Viviendas particulares (001)",1618,98,84,53,89,,,1,1293
"Ocupantes presentes (002)",7860,490,392,265,453,,,6,6254
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",1616,98,84,53,89,,,1,1291
"Ocupantes presentes (005)",7850,490,392,265,453,,,6,6244
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",2,,,,,,,,2
"Ocupantes presentes (011)",10,,,,,,,,10
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",155,6,28,6,40,,,,75
"Ocupantes presentes (029)",700,26,115,30,200,,,,329
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",153,6,28,6,40,,,,73
"Ocupantes presentes (032)",690,26,115,30,200,,,,319
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",2,,,,,,,,2
"Ocupantes presentes (038)",10,,,,,,,,10
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1463,92,56,47,49,,,1,1218
"Ocupantes presentes (056)",7160,464,277,235,253,,,6,5925
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1463,92,56,47,49,,,1,1218
"Ocupantes presentes (059)",7160,464,277,235,253,,,6,5925
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
