"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia MARAÑON (000)",6103,1179,4924
"Red pública dentro de la vivienda (001)",54,42,12
"Red pública fuera de la vivienda (002)",10,7,3
"Pilón de uso público (003)",63,16,47
"Camión - cisterna u otro similar (004)",4,,4
"Pozo (005)",1245,144,1101
"Río, acequia, manatial o similar (006)",4572,940,3632
"Vecino (007)",134,22,112
"Otro (008)",21,8,13
,,,
"URBANA (010)",847,544,303
"Red pública dentro de la vivienda (011)",35,31,4
"Red pública fuera de la vivienda (012)",2,2,
"Pilón de uso público (013)",2,1,1
"Pozo (015)",125,3,122
"Río, acequia, manatial o similar (016)",661,495,166
"Vecino (017)",16,8,8
"Otro (018)",6,4,2
,,,
"RURAL (020)",5256,635,4621
"Red pública dentro de la vivienda (021)",19,11,8
"Red pública fuera de la vivienda (022)",8,5,3
"Pilón de uso público (023)",61,15,46
"Camión - cisterna u otro similar (024)",4,,4
"Pozo (025)",1120,141,979
"Río, acequia, manatial o similar (026)",3911,445,3466
"Vecino (027)",118,14,104
"Otro (028)",15,4,11
