"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONCEPCION (000)",18961,15522,1345,976,1118
"Agric., ganadería, caza y silvicultura (001)",10310,9731,512,50,17
"Pesca (002)",23,12,,8,3
"Explotación de minas y canteras (003)",499,47,46,235,171
"Industrias manufactureras (004)",817,603,92,58,64
"Suministro de electricidad, gas y agua (005)",16,1,3,6,6
"Construcción (006)",726,476,111,108,31
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2112,1960,91,47,14
"Venta, mant.y rep. veh.autom y motoc. (008)",281,206,38,31,6
"Comercio al por mayor (009)",85,72,,5,8
"Comercio al por menor (010)",1746,1682,53,11,
"Hoteles y restaurantes (011)",515,473,35,6,1
"Trans., almac. y comunicaciones (012)",938,757,72,75,34
"Intermediación financiera (013)",25,3,1,13,8
"Activid.inmobil., empres. y alquileres (014)",470,241,62,82,85
"Admin.pub. y defensa; p. segur soc.afil (015)",374,,,,374
"Enseñanza (016)",832,222,242,238,130
"Servicios sociales y de salud (017)",236,87,11,10,128
"Otras activ. serv.comun.soc y personales (018)",316,236,49,20,11
"Hogares privados con servicio doméstico (019)",263,263,,,
"Actividad economica no especificada (021)",489,410,18,20,41
"Hombres (022)",12466,10048,904,748,766
"Agric., ganadería, caza y silvicultura (023)",7323,6939,341,30,13
"Pesca (024)",15,9,,5,1
"Explotación de minas y canteras (025)",475,44,39,226,166
"Industrias manufactureras (026)",545,414,60,44,27
"Suministro de electricidad, gas y agua (027)",13,,2,6,5
"Construcción (028)",704,466,108,102,28
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",949,834,62,40,13
"Venta, mant.y rep. veh.autom y motoc. (030)",257,184,37,30,6
"Comercio al por mayor (031)",45,36,,2,7
"Comercio al por menor (032)",647,614,25,8,
"Hoteles y restaurantes (033)",149,124,20,5,
"Trans., almac. y comunicaciones (034)",867,699,65,71,32
"Intermediación financiera (035)",13,2,1,7,3
"Activid.inmobil., empres. y alquileres (036)",318,151,39,56,72
"Admin.pub. y defensa; p. segur soc.afil (037)",265,,,,265
"Enseñanza (038)",373,73,114,122,64
"Servicios sociales y de salud (039)",87,50,3,3,31
"Otras activ. serv.comun.soc y personales (040)",163,101,39,16,7
"Hogares privados con servicio doméstico (041)",23,23,,,
