"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia HUANCA SANCOS",,,,
"Viviendas particulares (001)",767,501,189,77
"Ocupantes presentes (002)",2761,1772,734,255
"Casa independiente",,,,
"Viviendas particulares (004)",735,484,179,72
"Ocupantes presentes (005)",2624,1712,679,233
"Departamento en edificio",,,,
"Viviendas particulares (007)",4,2,2,
"Ocupantes presentes (008)",13,5,8,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",14,11,3,
"Ocupantes presentes (011)",61,41,20,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",7,4,3,
"Ocupantes presentes (014)",21,14,7,
"Choza o cabaña",,,,
"Viviendas particulares (016)",5,,,5
"Ocupantes presentes (017)",22,,,22
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",2,,2,
"Ocupantes presentes (023)",20,,20,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",507,361,102,44
"Ocupantes presentes (029)",1821,1270,394,157
"Casa independiente",,,,
"Viviendas particulares (031)",478,345,94,39
"Ocupantes presentes (032)",1701,1212,354,135
"Departamento en edificio",,,,
"Viviendas particulares (034)",4,2,2,
"Ocupantes presentes (035)",13,5,8,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",11,10,1,
"Ocupantes presentes (038)",44,39,5,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",7,4,3,
"Ocupantes presentes (041)",21,14,7,
"Choza o cabaña",,,,
"Viviendas particulares (043)",5,,,5
"Ocupantes presentes (044)",22,,,22
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",2,,2,
"Ocupantes presentes (050)",20,,20,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",260,140,87,33
"Ocupantes presentes (056)",940,502,340,98
"Casa independiente",,,,
"Viviendas particulares (058)",257,139,85,33
"Ocupantes presentes (059)",923,500,325,98
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",3,1,2,
"Ocupantes presentes (065)",17,2,15,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",702,479,182,41
"Ocupantes presentes (110)",2556,1698,723,135
"Casa independiente",,,,
"Viviendas particulares (112)",675,462,172,41
"Ocupantes presentes (113)",2441,1638,668,135
"Departamento en edificio",,,,
"Viviendas particulares (115)",4,2,2,
"Ocupantes presentes (116)",13,5,8,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",14,11,3,
"Ocupantes presentes (119)",61,41,20,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",7,4,3,
"Ocupantes presentes (122)",21,14,7,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",2,,2,
"Ocupantes presentes (131)",20,,20,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",444,339,96,9
"Ocupantes presentes (137)",1620,1196,384,40
"Casa independiente",,,,
"Viviendas particulares (139)",420,323,88,9
"Ocupantes presentes (140)",1522,1138,344,40
"Departamento en edificio",,,,
"Viviendas particulares (142)",4,2,2,
"Ocupantes presentes (143)",13,5,8,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",11,10,1,
"Ocupantes presentes (146)",44,39,5,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",7,4,3,
"Ocupantes presentes (149)",21,14,7,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",2,,2,
"Ocupantes presentes (158)",20,,20,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",258,140,86,32
"Ocupantes presentes (164)",936,502,339,95
"Casa independiente",,,,
"Viviendas particulares (166)",255,139,84,32
"Ocupantes presentes (167)",919,500,324,95
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",3,1,2,
"Ocupantes presentes (173)",17,2,15,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",65,22,7,36
"Ocupantes presentes (218)",205,74,11,120
"Casa independiente",,,,
"Viviendas particulares (220)",60,22,7,31
"Ocupantes presentes (221)",183,74,11,98
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",5,,,5
"Ocupantes presentes (233)",22,,,22
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",63,22,6,35
"Ocupantes presentes (245)",201,74,10,117
"Casa independiente",,,,
"Viviendas particulares (247)",58,22,6,30
"Ocupantes presentes (248)",179,74,10,95
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",5,,,5
"Ocupantes presentes (260)",22,,,22
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",2,,1,1
"Ocupantes presentes (272)",4,,1,3
"Casa independiente",,,,
"Viviendas particulares (274)",2,,1,1
"Ocupantes presentes (275)",4,,1,3
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
