"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LEONCIO PRADO (000)",86214,12489,8003,3168,62733
"Conviviente (001)",28797,2746,1752,616,23712
"Separado(a) (002)",3626,346,241,90,2955
"Casado(a) (003)",18113,1533,3401,927,12320
"Viudo(a) (004)",3020,290,244,73,2416
"Divorciado(a) (005)",372,22,63,17,270
"Soltero(a) (006)",32286,7552,2302,1445,21060
"Hombres (008)",45252,5570,3983,2148,33688
"Conviviente (009)",14238,888,876,357,12135
"Separado(a) (010)",1342,51,83,47,1162
"Casado(a) (011)",9162,617,1705,614,6274
"Viudo(a) (012)",900,63,49,19,772
"Divorciado(a) (013)",198,8,27,12,151
"Soltero(a) (014)",19412,3943,1243,1099,13194
"Mujeres (016)",40962,6919,4020,1020,29045
"Conviviente (017)",14559,1858,876,259,11577
"Separado(a) (018)",2284,295,158,43,1793
"Casado(a) (019)",8951,916,1696,313,6046
"Viudo(a) (020)",2120,227,195,54,1644
"Divorciado(a) (021)",174,14,36,5,119
"Soltero(a) (022)",12874,3609,1059,346,7866
,,,,,
"URBANA (024)",52180,6321,7297,2650,36057
"Conviviente (025)",15469,1327,1541,479,12141
"Separado(a) (026)",2275,228,224,70,1759
"Casado(a) (027)",11688,847,3140,810,6946
"Viudo(a) (028)",1719,180,218,55,1268
"Divorciado(a) (029)",248,14,59,16,159
"Soltero(a) (030)",20781,3725,2115,1220,13784
"Hombres (032)",25944,2564,3602,1813,18077
"Conviviente (033)",7351,362,775,284,5943
"Separado(a) (034)",707,29,78,35,566
"Casado(a) (035)",5739,304,1561,539,3372
"Viudo(a) (036)",386,32,38,14,304
"Divorciado(a) (037)",113,6,25,11,71
"Soltero(a) (038)",11648,1831,1125,930,7821
"Mujeres (040)",26236,3757,3695,837,17980
"Conviviente (041)",8118,965,766,195,6198
"Separado(a) (042)",1568,199,146,35,1193
"Casado(a) (043)",5949,543,1579,271,3574
"Viudo(a) (044)",1333,148,180,41,964
"Divorciado(a) (045)",135,8,34,5,88
"Soltero(a) (046)",9133,1894,990,290,5963
,,,,,
"RURAL (048)",34034,6168,706,518,26676
"Conviviente (049)",13328,1419,211,137,11571
"Separado(a) (050)",1351,118,17,20,1196
"Casado(a) (051)",6425,686,261,117,5374
"Viudo(a) (052)",1301,110,26,18,1148
"Divorciado(a) (053)",124,8,4,1,111
"Soltero(a) (054)",11505,3827,187,225,7276
"Hombres (056)",19308,3006,381,335,15611
"Conviviente (057)",6887,526,101,73,6192
"Separado(a) (058)",635,22,5,12,596
"Casado(a) (059)",3423,313,144,75,2902
"Viudo(a) (060)",514,31,11,5,468
"Divorciado(a) (061)",85,2,2,1,80
"Soltero(a) (062)",7764,2112,118,169,5373
"Mujeres (064)",14726,3162,325,183,11065
"Conviviente (065)",6441,893,110,64,5379
"Separado(a) (066)",716,96,12,8,600
"Casado(a) (067)",3002,373,117,42,2472
"Viudo(a) (068)",787,79,15,13,680
"Divorciado(a) (069)",39,6,2,,31
"Soltero(a) (070)",3741,1715,69,56,1903
