"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia VILCAS HUAMAN (000)",10466,8368,2098
"De 3 a 5 años (001)",1686,134,1552
"De 6 a 11 años (002)",3400,2986,414
"De 12 a 16 años (003)",2812,2783,29
"De 17 a 24 años (004)",2568,2465,103
"Hombres (005)",5305,4256,1049
"De 3 a 5 años (006)",846,69,777
"De 6 a 11 años (007)",1707,1484,223
"De 12 a 16 años (008)",1438,1427,11
"De 17 a 24 años (009)",1314,1276,38
"Mujeres (010)",5161,4112,1049
"De 3 a 5 años (011)",840,65,775
"De 6 a 11 años (012)",1693,1502,191
"De 12 a 16 años (013)",1374,1356,18
"De 17 a 24 años (014)",1254,1189,65
,,,
"URBANA (015)",3184,2631,553
"De 3 a 5 años (016)",473,53,420
"De 6 a 11 años (017)",962,863,99
"De 12 a 16 años (018)",907,896,11
"De 17 a 24 años (019)",842,819,23
"Hombres (020)",1586,1301,285
"De 3 a 5 años (021)",236,28,208
"De 6 a 11 años (022)",476,412,64
"De 12 a 16 años (023)",450,445,5
"De 17 a 24 años (024)",424,416,8
"Mujeres (025)",1598,1330,268
"De 3 a 5 años (026)",237,25,212
"De 6 a 11 años (027)",486,451,35
"De 12 a 16 años (028)",457,451,6
"De 17 a 24 años (029)",418,403,15
,,,
"RURAL (030)",7282,5737,1545
"De 3 a 5 años (031)",1213,81,1132
"De 6 a 11 años (032)",2438,2123,315
"De 12 a 16 años (033)",1905,1887,18
"De 17 a 24 años (034)",1726,1646,80
"Hombres (035)",3719,2955,764
"De 3 a 5 años (036)",610,41,569
"De 6 a 11 años (037)",1231,1072,159
"De 12 a 16 años (038)",988,982,6
"De 17 a 24 años (039)",890,860,30
"Mujeres (040)",3563,2782,781
"De 3 a 5 años (041)",603,40,563
"De 6 a 11 años (042)",1207,1051,156
"De 12 a 16 años (043)",917,905,12
"De 17 a 24 años (044)",836,786,50
