"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHINCHA (000)",75318,908,51,12324,35397,6056,10878,3008,6696
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",164,,,2,18,7,41,9,87
"Profes., científicos e intelectuales (002)",6996,,,,117,268,2701,514,3396
"Técnicos de nivel medio ytrab.asimilados (003)",4200,2,,49,854,721,1632,340,602
"Jefes y empleados de oficina (004)",2930,,,25,744,384,918,324,535
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",10046,99,2,1831,5157,955,1022,438,542
"Agricult.trabaj. calif.agrop. y pesquros (006)",4437,205,3,1650,1988,160,221,78,132
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",13862,52,7,1385,8142,1380,1983,434,479
"Obreros. construc., conf., papel, fab., instr (008)",10356,62,6,1631,6515,775,790,308,269
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",19679,449,31,5291,10710,1185,1144,440,429
"Otra (010)",526,,,,106,42,229,51,98
"Ocupación no especificada (011)",2122,39,2,460,1046,179,197,72,127
"Hombres (012)",48861,338,35,7062,25167,3949,6317,2026,3967
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",119,,,2,11,5,26,7,68
"Profes., científicos e intelectuales (014)",3352,,,,55,118,1027,310,1842
"Técnicos de nivel medio ytrab.asimilados (015)",2730,1,,27,568,517,1029,232,356
"Jefes y empleados de oficina (016)",1615,,,17,516,195,434,175,278
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",4643,18,1,552,2640,465,436,252,279
"Agricult.trabaj. calif.agrop. y pesquros (018)",3634,63,3,1291,1757,140,198,68,114
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",8915,33,4,740,5200,907,1407,299,325
"Obreros. construc., conf., papel, fab., instr (020)",9871,48,4,1477,6287,746,754,297,258
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",12223,162,22,2746,7352,706,665,287,283
"Otra (022)",510,,,,101,42,223,49,95
"Ocupación no especificada (023)",1249,13,1,210,680,108,118,50,69
"Mujeres (024)",26457,570,16,5262,10230,2107,4561,982,2729
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",45,,,,7,2,15,2,19
"Profes., científicos e intelectuales (026)",3644,,,,62,150,1674,204,1554
"Técnicos de nivel medio ytrab.asimilados (027)",1470,1,,22,286,204,603,108,246
"Jefes y empleados de oficina (028)",1315,,,8,228,189,484,149,257
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",5403,81,1,1279,2517,490,586,186,263
"Agricult.trabaj. calif.agrop. y pesquros (030)",803,142,,359,231,20,23,10,18
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",4947,19,3,645,2942,473,576,135,154
"Obreros. construc., conf., papel, fab., instr (032)",485,14,2,154,228,29,36,11,11
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",7456,287,9,2545,3358,479,479,153,146
"Otra (034)",16,,,,5,,6,2,3
"Ocupación no especificada (035)",873,26,1,250,366,71,79,22,58
,,,,,,,,,
"URBANA (036)",67495,606,47,10025,31487,5684,10284,2909,6453
