"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CAJATAMBO (000)",2821,578,523,1213,59,395,53
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",17,16,,,1,,
"Profes., científicos e intelectuales (002)",348,323,,23,1,1,
"Técnicos de nivel medio y trab. asimilados (003)",46,38,,8,,,
"Jefes y empleados de oficina (004)",82,82,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",208,35,8,142,3,20,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",967,,,918,49,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",162,,117,40,3,2,
"Obreros construc.,conf., papel, fab., instr. (008)",90,14,58,17,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",816,44,322,38,1,358,53
"Otra (010)",12,12,,,,,
"Ocupación no especificada (011)",73,14,18,27,1,13,
"Hombres (012)",2061,338,456,961,50,253,3
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",14,13,,,1,,
"Profes., científicos e intelectuales (014)",186,170,,15,1,,
"Técnicos de nivel medio y trab. asimilados (015)",36,28,,8,,,
"Jefes y empleados de oficina (016)",45,45,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",79,19,,55,1,4,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",853,,,810,43,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",155,,113,37,3,2,
"Obreros construc.,conf., papel, fab., instr. (020)",90,14,58,17,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",556,27,274,8,1,243,3
"Otra (022)",11,11,,,,,
"Ocupación no especificada (023)",36,11,11,11,,3,
"Mujeres (024)",760,240,67,252,9,142,50
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,3,,,,,
"Profes., científicos e intelectuales (026)",162,153,,8,,1,
"Técnicos de nivel medio y trab. asimilados (027)",10,10,,,,,
"Jefes y empleados de oficina (028)",37,37,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",129,16,8,87,2,16,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",114,,,108,6,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",7,,4,3,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",260,17,48,30,,115,50
"Otra (034)",1,1,,,,,
"Ocupación no especificada (035)",37,3,7,16,1,10,
,,,,,,,
"URBANA (036)",1701,460,300,671,40,184,46
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",13,13,,,,,
"Profes., científicos e intelectuales (038)",261,248,,13,,,
"Técnicos de nivel medio y trab. asimilados (039)",34,26,,8,,,
"Jefes y empleados de oficina (040)",70,70,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",169,28,8,112,3,18,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",466,,,433,33,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",65,,28,32,3,2,
"Obreros construc.,conf., papel, fab., instr. (044)",61,12,33,15,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",493,38,218,36,,155,46
"Otra (046)",12,12,,,,,
"Ocupación no especificada (047)",57,13,13,22,1,8,
"Hombres (048)",1123,265,248,470,33,105,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",10,10,,,,,
"Profes., científicos e intelectuales (050)",142,134,,8,,,
"Técnicos de nivel medio y trab. asimilados (051)",26,18,,8,,,
"Jefes y empleados de oficina (052)",34,34,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",58,15,,38,1,4,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",384,,,355,29,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",60,,24,31,3,2,
"Obreros construc.,conf., papel, fab., instr. (056)",61,12,33,15,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",311,21,184,8,,96,2
"Otra (058)",11,11,,,,,
"Ocupación no especificada (059)",26,10,7,7,,2,
"Mujeres (060)",578,195,52,201,7,79,44
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",3,3,,,,,
"Profes., científicos e intelectuales (062)",119,114,,5,,,
"Técnicos de nivel medio y trab. asimilados (063)",8,8,,,,,
"Jefes y empleados de oficina (064)",36,36,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",111,13,8,74,2,14,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",82,,,78,4,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",5,,4,1,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",182,17,34,28,,59,44
"Otra (070)",1,1,,,,,
"Ocupación no especificada (071)",31,3,6,15,1,6,
,,,,,,,
"RURAL (072)",1120,118,223,542,19,211,7
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",4,3,,,1,,
"Profes., científicos e intelectuales (074)",87,75,,10,1,1,
"Técnicos de nivel medio y trab. asimilados (075)",12,12,,,,,
"Jefes y empleados de oficina (076)",12,12,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",39,7,,30,,2,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",501,,,485,16,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",97,,89,8,,,
"Obreros construc.,conf., papel, fab., instr. (080)",29,2,25,2,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",323,6,104,2,1,203,7
"Ocupación no especificada (083)",16,1,5,5,,5,
"Hombres (084)",938,73,208,491,17,148,1
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",4,3,,,1,,
"Profes., científicos e intelectuales (086)",44,36,,7,1,,
"Técnicos de nivel medio y trab. asimilados (087)",10,10,,,,,
"Jefes y empleados de oficina (088)",11,11,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",21,4,,17,,,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",469,,,455,14,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",95,,89,6,,,
"Obreros construc.,conf., papel, fab., instr. (092)",29,2,25,2,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",245,6,90,,1,147,1
"Ocupación no especificada (095)",10,1,4,4,,1,
"Mujeres (096)",182,45,15,51,2,63,6
"Profes., científicos e intelectuales (098)",43,39,,3,,1,
"Técnicos de nivel medio y trab. asimilados (099)",2,2,,,,,
"Jefes y empleados de oficina (100)",1,1,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",18,3,,13,,2,
"Agricult.trabaj. calif.agrop. y pesqueros (102)",32,,,30,2,,
"Obreros y oper.minas, cant., ind.manuf.y otros (103)",2,,,2,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (105)",78,,14,2,,56,6
"Ocupación no especificada (107)",6,,1,1,,4,
