"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CELENDIN (000)",1480,122,756,339,192,71
"Sin nivel (001)",142,19,29,37,31,26
"Educación inicial (002)",17,3,11,3,,
"Primaria (003)",848,86,402,200,122,38
"Secundaria (004)",301,14,210,47,27,3
"Superior no univ. incompleta (005)",42,,25,12,3,2
"Superior no univ. completa (006)",102,,66,29,6,1
"Superior univ. incompleta (007)",4,,3,1,,
"Superior univ. completa (008)",24,,10,10,3,1
"Hombres (010)",1091,82,532,262,157,58
"Sin nivel (011)",97,17,16,26,19,19
"Educación inicial (012)",10,2,6,2,,
"Primaria (013)",643,54,295,157,102,35
"Secundaria (014)",233,9,156,41,25,2
"Superior no univ. incompleta (015)",28,,13,11,3,1
"Superior no univ. completa (016)",60,,37,18,5,
"Superior univ. incompleta (017)",2,,2,,,
"Superior univ. completa (018)",18,,7,7,3,1
"Mujeres (020)",389,40,224,77,35,13
"Sin nivel (021)",45,2,13,11,12,7
"Educación inicial (022)",7,1,5,1,,
"Primaria (023)",205,32,107,43,20,3
"Secundaria (024)",68,5,54,6,2,1
"Superior no univ. incompleta (025)",14,,12,1,,1
"Superior no univ. completa (026)",42,,29,11,1,1
"Superior univ. incompleta (027)",2,,1,1,,
"Superior univ. completa (028)",6,,3,3,,
,,,,,,
"Area Urbana (030)",456,14,231,125,66,20
"Sin nivel (031)",28,3,5,8,8,4
"Educación inicial (032)",3,1,2,,,
"Primaria (033)",165,7,62,51,31,14
"Secundaria (034)",136,3,88,27,17,1
"Superior no univ. incompleta (035)",21,,14,6,1,
"Superior no univ. completa (036)",78,,50,22,6,
"Superior univ. incompleta (037)",4,,3,1,,
"Superior univ. completa (038)",21,,7,10,3,1
"Hombres (040)",322,9,145,95,55,18
"Sin nivel (041)",17,2,2,5,5,3
"Educación inicial (042)",2,,2,,,
"Primaria (043)",122,6,36,41,26,13
"Secundaria (044)",101,1,62,22,15,1
"Superior no univ. incompleta (045)",15,,8,6,1,
"Superior no univ. completa (046)",47,,28,14,5,
"Superior univ. incompleta (047)",2,,2,,,
"Superior univ. completa (048)",16,,5,7,3,1
"Mujeres (050)",134,5,86,30,11,2
"Sin nivel (051)",11,1,3,3,3,1
"Educación inicial (052)",1,1,,,,
"Primaria (053)",43,1,26,10,5,1
"Secundaria (054)",35,2,26,5,2,
"Superior no univ. incompleta (055)",6,,6,,,
"Superior no univ. completa (056)",31,,22,8,1,
"Superior univ. incompleta (057)",2,,1,1,,
"Superior univ. completa (058)",5,,2,3,,
,,,,,,
"Area Rural (060)",1024,108,525,214,126,51
"Sin nivel (061)",114,16,24,29,23,22
"Educación inicial (062)",14,2,9,3,,
"Primaria (063)",683,79,340,149,91,24
"Secundaria (064)",165,11,122,20,10,2
"Superior no univ. incompleta (065)",21,,11,6,2,2
"Superior no univ. completa (066)",24,,16,7,,1
"Superior univ. completa (068)",3,,3,,,
"Hombres (070)",769,73,387,167,102,40
"Sin nivel (071)",80,15,14,21,14,16
"Educación inicial (072)",8,2,4,2,,
"Primaria (073)",521,48,259,116,76,22
"Secundaria (074)",132,8,94,19,10,1
"Superior no univ. incompleta (075)",13,,5,5,2,1
"Superior no univ. completa (076)",13,,9,4,,
"Superior univ. completa (078)",2,,2,,,
"Mujeres (080)",255,35,138,47,24,11
"Sin nivel (081)",34,1,10,8,9,6
"Educación inicial (082)",6,,5,1,,
"Primaria (083)",162,31,81,33,15,2
"Secundaria (084)",33,3,28,1,,1
"Superior no univ. incompleta (085)",8,,6,1,,1
"Superior no univ. completa (086)",11,,7,3,,1
"Superior univ. completa (088)",1,,1,,,
