"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia BOLIVAR (000)",16650,434,6627,3672,2800,2152,965
"Hombres (001)",8607,225,3422,1917,1407,1155,481
"Mujeres (002)",8043,209,3205,1755,1393,997,484
"Viviendas particulares (003)",16570,432,6622,3641,2778,2135,962
"Hombres (004)",8550,225,3419,1898,1390,1140,478
"Mujeres (005)",8020,207,3203,1743,1388,995,484
"Viviendas colectivas (006)",71,2,5,27,19,16,2
"Hombres (007)",49,,3,16,14,14,2
"Mujeres (008)",22,2,2,11,5,2,
"Otro tipo (009)",9,,,4,3,1,1
"Hombres (010)",8,,,3,3,1,1
"Mujeres (011)",1,,,1,,,
,,,,,,,
"URBANA (012)",5754,124,2036,1271,1064,893,366
"Hombres (013)",2907,63,1027,644,524,476,173
"Mujeres (014)",2847,61,1009,627,540,417,193
"Viviendas particulares (015)",5674,122,2031,1240,1042,876,363
"Hombres (016)",2850,63,1024,625,507,461,170
"Mujeres (017)",2824,59,1007,615,535,415,193
"Viviendas colectivas (018)",71,2,5,27,19,16,2
"Hombres (019)",49,,3,16,14,14,2
"Mujeres (020)",22,2,2,11,5,2,
"Otro tipo (021)",9,,,4,3,1,1
"Hombres (022)",8,,,3,3,1,1
"Mujeres (023)",1,,,1,,,
,,,,,,,
"RURAL (024)",10896,310,4591,2401,1736,1259,599
"Hombres (025)",5700,162,2395,1273,883,679,308
"Mujeres (026)",5196,148,2196,1128,853,580,291
"Viviendas particulares (027)",10896,310,4591,2401,1736,1259,599
"Hombres (028)",5700,162,2395,1273,883,679,308
"Mujeres (029)",5196,148,2196,1128,853,580,291
