"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CAJABAMBA (000)",873,354,519
"Sin nivel (001)",72,22,50
"Primaria (003)",544,230,314
"Secundaria (004)",160,63,97
"Superior no univ. incompleta (005)",17,5,12
"Superior no univ. completa (006)",57,25,32
"Superior univ. incompleta (007)",3,1,2
"Superior univ. completa (008)",20,8,12
"De 14 a 29 años (010)",565,296,269
"Sin nivel (011)",27,15,12
"Primaria (013)",360,201,159
"Secundaria (014)",116,51,65
"Superior no univ. incompleta (015)",13,4,9
"Superior no univ. completa (016)",40,21,19
"Superior univ. incompleta (017)",1,,1
"Superior univ. completa (018)",8,4,4
"De 30 a 44 años (020)",187,50,137
"Sin nivel (021)",22,7,15
"Primaria (023)",102,24,78
"Secundaria (024)",35,11,24
"Superior no univ. incompleta (025)",4,1,3
"Superior no univ. completa (026)",13,4,9
"Superior univ. incompleta (027)",1,,1
"Superior univ. completa (028)",10,3,7
"De 45 a 64 años (030)",89,8,81
"Sin nivel (031)",16,,16
"Primaria (033)",58,5,53
"Secundaria (034)",8,1,7
"Superior no univ. completa (036)",4,,4
"Superior univ. incompleta (037)",1,1,
"Superior univ. completa (038)",2,1,1
"De 65 y más años (040)",32,,32
"Sin nivel (041)",7,,7
"Primaria (043)",24,,24
"Secundaria (044)",1,,1
,,,
"AREA URBANA (050)",284,89,195
"Sin nivel (051)",16,4,12
"Primaria (053)",97,22,75
"Secundaria (054)",90,31,59
"Superior no univ. incompleta (055)",13,4,9
"Superior no univ. completa (056)",46,20,26
"Superior univ. incompleta (057)",3,1,2
"Superior univ. completa (058)",19,7,12
"De 14 a 29 años (060)",148,61,87
"Sin nivel (061)",4,2,2
"Primaria (063)",40,15,25
"Secundaria (064)",57,22,35
"Superior no univ. incompleta (065)",9,3,6
"Superior no univ. completa (066)",30,16,14
"Superior univ. incompleta (067)",1,,1
"Superior univ. completa (068)",7,3,4
"De 30 a 44 años (070)",88,24,64
"Sin nivel (071)",6,2,4
"Primaria (073)",29,6,23
"Secundaria (074)",26,8,18
"Superior no univ. incompleta (075)",4,1,3
"Superior no univ. completa (076)",12,4,8
"Superior univ. incompleta (077)",1,,1
"Superior univ. completa (078)",10,3,7
"De 45 a 64 años (080)",37,4,33
"Sin nivel (081)",4,,4
"Primaria (083)",20,1,19
"Secundaria (084)",6,1,5
"Superior no univ. completa (086)",4,,4
"Superior univ. incompleta (087)",1,1,
"Superior univ. completa (088)",2,1,1
"De 65 y más años (090)",11,,11
"Sin nivel (091)",2,,2
"Primaria (093)",8,,8
"Secundaria (094)",1,,1
,,,
"AREA RURAL (100)",589,265,324
"Sin nivel (101)",56,18,38
"Primaria (103)",447,208,239
"Secundaria (104)",70,32,38
"Superior no univ. incompleta (105)",4,1,3
"Superior no univ. completa (106)",11,5,6
"Superior univ. completa (108)",1,1,
"De 14 a 29 años (110)",417,235,182
"Sin nivel (111)",23,13,10
"Primaria (113)",320,186,134
"Secundaria (114)",59,29,30
"Superior no univ. incompleta (115)",4,1,3
"Superior no univ. completa (116)",10,5,5
"Superior univ. completa (118)",1,1,
"De 30 a 44 años (120)",99,26,73
"Sin nivel (121)",16,5,11
"Primaria (123)",73,18,55
"Secundaria (124)",9,3,6
"Superior no univ. completa (126)",1,,1
"De 45 a 64 años (130)",52,4,48
"Sin nivel (131)",12,,12
"Primaria (133)",38,4,34
"Secundaria (134)",2,,2
"De 65 y más años (140)",21,,21
"Sin nivel (141)",5,,5
"Primaria (143)",16,,16
