"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PISCO (000)",35531,456,12564,11041,4084,1509,613,173,21,,5070
"Catolica (001)",29821,351,10353,9341,3525,1304,518,148,18,,4263
"Cristiana / Evangelica (002)",4121,83,1640,1243,403,148,64,20,1,,519
"Otra (003)",1128,15,367,334,120,51,26,5,2,,208
"Ninguna (004)",461,7,204,123,36,6,5,,,,80
,,,,,,,,,,,
"URBANA (006)",31462,384,10941,9798,3681,1383,558,160,17,,4540
"Catolica (007)",26551,303,9046,8351,3198,1204,477,140,14,,3818
"Cristiana / Evangelica (008)",3445,61,1377,1027,337,123,54,15,1,,450
"Otra (009)",1066,15,347,313,114,50,22,5,2,,198
"Ninguna (010)",400,5,171,107,32,6,5,,,,74
,,,,,,,,,,,
"RURAL (012)",4069,72,1623,1243,403,126,55,13,4,,530
"Catolica (013)",3270,48,1307,990,327,100,41,8,4,,445
"Cristiana / Evangelica (014)",676,22,263,216,66,25,10,5,,,69
"Otra (015)",62,,20,21,6,1,4,,,,10
"Ninguna (016)",61,2,33,16,4,,,,,,6
