"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONDESUYOS (000)",8408,4966,761,638,2043
"Agric., ganadería, caza y silvicultura (001)",2724,2461,223,27,13
"Pesca (002)",136,132,2,,2
"Explotación de minas y canteras (003)",3233,962,310,336,1625
"Industrias manufactureras (004)",154,126,8,11,9
"Suministro de electricidad, gas y agua (005)",6,2,1,3,
"Construcción (006)",268,135,64,38,31
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",493,462,26,3,2
"Venta, mant.y rep. veh.autom y motoc. (008)",17,13,1,1,2
"Comercio al por mayor (009)",22,19,2,1,
"Comercio al por menor (010)",454,430,23,1,
"Hoteles y restaurantes (011)",203,164,5,1,33
"Trans., almac. y comunicaciones (012)",154,114,13,9,18
"Intermediación financiera (013)",3,1,,,2
"Activid.inmobil., empres. y alquileres (014)",91,31,13,20,27
"Admin.pub. y defensa; p. segur soc.afil (015)",215,,,,215
"Enseñanza (016)",340,102,60,169,9
"Servicios sociales y de salud (017)",81,22,7,8,44
"Otras activ. serv.comun.soc y personales (018)",118,83,18,5,12
"Hogares privados con servicio doméstico (019)",52,52,,,
"Actividad economica no especificada (021)",137,117,11,8,1
"Hombres (022)",6179,3226,570,508,1875
"Agric., ganadería, caza y silvicultura (023)",1728,1569,129,17,13
"Pesca (024)",132,128,2,,2
"Explotación de minas y canteras (025)",3092,888,300,322,1582
"Industrias manufactureras (026)",83,64,5,8,6
"Suministro de electricidad, gas y agua (027)",6,2,1,3,
"Construcción (028)",250,129,57,33,31
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",173,162,7,2,2
"Venta, mant.y rep. veh.autom y motoc. (030)",14,10,1,1,2
"Comercio al por mayor (031)",9,7,1,1,
"Comercio al por menor (032)",150,145,5,,
"Hoteles y restaurantes (033)",41,15,,,26
"Trans., almac. y comunicaciones (034)",144,104,13,9,18
"Intermediación financiera (035)",2,1,,,1
"Activid.inmobil., empres. y alquileres (036)",76,23,10,19,24
"Admin.pub. y defensa; p. segur soc.afil (037)",144,,,,144
"Enseñanza (038)",143,30,24,83,6
"Servicios sociales y de salud (039)",26,11,2,,13
"Otras activ. serv.comun.soc y personales (040)",67,42,14,5,6
"Hogares privados con servicio doméstico (041)",9,9,,,
"Actividad economica no especificada (043)",63,49,6,7,1
