"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia TARMA (000)",100253,9529,9650,2470,78707
"Hombres (001)",49091,4484,4791,1437,38445
"Mujeres (002)",51162,5045,4859,1033,40262
"PEA (003)",44661,1304,4515,1392,37524
"Hombres (004)",29889,753,2701,966,25523
"Mujeres (005)",14772,551,1814,426,12001
"Ocupada (006)",42825,1253,4414,1356,35874
"Hombres (007)",28699,719,2632,942,24458
"Mujeres (008)",14126,534,1782,414,11416
"Desocupada (009)",1836,51,101,36,1650
"Hombres (010)",1190,34,69,24,1065
"Mujeres (011)",646,17,32,12,585
"No PEA (012)",55592,8225,5135,1078,41183
"Hombres (013)",19202,3731,2090,471,12922
"Mujeres (014)",36390,4494,3045,607,28261
,,,,,
"URBANA (018)",65098,5299,8584,2151,49144
"Hombres (019)",31486,2473,4175,1243,23646
"Mujeres (020)",33612,2826,4409,908,25498
"PEA (021)",29297,929,4011,1215,23198
"Hombres (022)",18361,523,2319,833,14727
"Mujeres (023)",10936,406,1692,382,8471
"Ocupada (024)",27818,887,3913,1182,21890
"Hombres (025)",17407,495,2253,811,13887
"Mujeres (026)",10411,392,1660,371,8003
"Desocupada (027)",1479,42,98,33,1308
"Hombres (028)",954,28,66,22,840
"Mujeres (029)",525,14,32,11,468
"No PEA (030)",35801,4370,4573,936,25946
"Hombres (031)",13125,1950,1856,410,8919
"Mujeres (032)",22676,2420,2717,526,17027
,,,,,
"RURAL (036)",35155,4230,1066,319,29563
"Hombres (037)",17605,2011,616,194,14799
"Mujeres (038)",17550,2219,450,125,14764
"PEA (039)",15364,375,504,177,14326
"Hombres (040)",11528,230,382,133,10796
"Mujeres (041)",3836,145,122,44,3530
"Ocupada (042)",15007,366,501,174,13984
"Hombres (043)",11292,224,379,131,10571
"Mujeres (044)",3715,142,122,43,3413
"Desocupada (045)",357,9,3,3,342
"Hombres (046)",236,6,3,2,225
"Mujeres (047)",121,3,,1,117
"No PEA (048)",19791,3855,562,142,15237
"Hombres (049)",6077,1781,234,61,4003
"Mujeres (050)",13714,2074,328,81,11234
