"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia LAURICOCHA (000)",20490,11376,131,372,7960,190,10,14,1,436
"Hombres (001)",8295,6001,93,231,1618,91,8,5,1,247
"Mujeres (002)",12195,5375,38,141,6342,99,2,9,,189
"De 06 a 14 años (003)",9032,8483,,,203,101,1,4,,240
"Hombres (004)",4693,4429,,,84,48,1,3,,128
"Mujeres (005)",4339,4054,,,119,53,,1,,112
"De 15 a 29 años (006)",5393,2802,3,93,2410,,4,4,1,76
"Hombres (007)",2182,1540,2,57,531,,2,2,1,47
"Mujeres (008)",3211,1262,1,36,1879,,2,2,,29
"De 30 a 44 años (009)",2639,62,3,83,2443,,3,2,,43
"Hombres (010)",529,24,2,55,418,,3,,,27
"Mujeres (011)",2110,38,1,28,2025,,,2,,16
"De 45 a 64 años (012)",2101,27,61,106,1871,,1,,,35
"Hombres (013)",464,7,39,60,334,,1,,,23
"Mujeres (014)",1637,20,22,46,1537,,,,,12
"De 65 y más años (015)",1325,2,64,90,1033,89,1,4,,42
"Hombres (016)",427,1,50,59,251,43,1,,,22
"Mujeres (017)",898,1,14,31,782,46,,4,,20
,,,,,,,,,,
"AREA URBANA (018)",4626,2602,68,108,1706,59,1,5,,77
"Hombres (019)",1917,1371,50,58,374,26,,2,,36
"Mujeres (020)",2709,1231,18,50,1332,33,1,3,,41
"De 06 a 14 años (021)",1922,1833,,,36,30,,2,,21
"Hombres (022)",986,942,,,18,14,,1,,11
"Mujeres (023)",936,891,,,18,16,,1,,10
"De 15 a 29 años (024)",1282,739,1,24,494,,1,2,,21
"Hombres (025)",560,415,1,12,122,,,1,,9
"Mujeres (026)",722,324,,12,372,,1,1,,12
"De 30 a 44 años (027)",536,20,,26,475,,,1,,14
"Hombres (028)",127,10,,12,99,,,,,6
"Mujeres (029)",409,10,,14,376,,,1,,8
"De 45 a 64 años (030)",514,10,30,33,434,,,,,7
"Hombres (031)",119,4,19,20,71,,,,,5
"Mujeres (032)",395,6,11,13,363,,,,,2
"De 65 y más años (033)",372,,37,25,267,29,,,,14
"Hombres (034)",125,,30,14,64,12,,,,5
"Mujeres (035)",247,,7,11,203,17,,,,9
,,,,,,,,,,
"AREA RURAL (036)",15864,8774,63,264,6254,131,9,9,1,359
"Hombres (037)",6378,4630,43,173,1244,65,8,3,1,211
"Mujeres (038)",9486,4144,20,91,5010,66,1,6,,148
"De 06 a 14 años (039)",7110,6650,,,167,71,1,2,,219
"Hombres (040)",3707,3487,,,66,34,1,2,,117
"Mujeres (041)",3403,3163,,,101,37,,,,102
"De 15 a 29 años (042)",4111,2063,2,69,1916,,3,2,1,55
"Hombres (043)",1622,1125,1,45,409,,2,1,1,38
"Mujeres (044)",2489,938,1,24,1507,,1,1,,17
"De 30 a 44 años (045)",2103,42,3,57,1968,,3,1,,29
"Hombres (046)",402,14,2,43,319,,3,,,21
"Mujeres (047)",1701,28,1,14,1649,,,1,,8
"De 45 a 64 años (048)",1587,17,31,73,1437,,1,,,28
"Hombres (049)",345,3,20,40,263,,1,,,18
"Mujeres (050)",1242,14,11,33,1174,,,,,10
"De 65 y más años (051)",953,2,27,65,766,60,1,4,,28
"Hombres (052)",302,1,20,45,187,31,1,,,17
"Mujeres (053)",651,1,7,20,579,29,,4,,11
