"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ATALAYA (000)",12955,9876,1552,603,924
"Agric., ganadería, caza y silvicultura (001)",7549,6546,768,127,108
"Pesca (002)",146,137,6,3,
"Explotación de minas y canteras (003)",34,1,1,20,12
"Industrias manufactureras (004)",503,338,95,31,39
"Suministro de electricidad, gas y agua (005)",17,9,1,6,1
"Construcción (006)",442,211,140,83,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1050,958,67,22,3
"Venta, mant.y rep. veh.autom y motoc. (008)",104,88,9,6,1
"Comercio al por mayor (009)",52,37,12,1,2
"Comercio al por menor (010)",894,833,46,15,
"Hoteles y restaurantes (011)",321,286,25,4,6
"Trans., almac. y comunicaciones (012)",657,385,89,55,128
"Intermediación financiera (013)",4,4,,,
"Activid.inmobil., empres. y alquileres (014)",146,67,26,34,19
"Admin.pub. y defensa; p. segur soc.afil (015)",442,,,,442
"Enseñanza (016)",719,242,248,177,52
"Servicios sociales y de salud (017)",118,22,7,3,86
"Otras activ. serv.comun.soc y personales (018)",147,121,15,7,4
"Hogares privados con servicio doméstico (019)",211,211,,,
"Organiz. y organos extraterritoriales (020)",1,,,1,
"Actividad economica no especificada (021)",448,338,64,30,16
"Hombres (022)",8875,6558,1170,425,722
"Agric., ganadería, caza y silvicultura (023)",5360,4593,558,109,100
"Pesca (024)",138,129,6,3,
"Explotación de minas y canteras (025)",13,1,,1,11
"Industrias manufactureras (026)",435,282,88,28,37
"Suministro de electricidad, gas y agua (027)",17,9,1,6,1
"Construcción (028)",420,207,135,72,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",528,464,47,14,3
"Venta, mant.y rep. veh.autom y motoc. (030)",87,74,6,6,1
"Comercio al por mayor (031)",37,24,10,1,2
"Comercio al por menor (032)",404,366,31,7,
"Hoteles y restaurantes (033)",81,66,11,3,1
"Trans., almac. y comunicaciones (034)",623,369,83,44,127
"Intermediación financiera (035)",4,4,,,
"Activid.inmobil., empres. y alquileres (036)",112,55,16,24,17
"Admin.pub. y defensa; p. segur soc.afil (037)",333,,,,333
"Enseñanza (038)",384,117,152,89,26
"Servicios sociales y de salud (039)",68,12,4,2,50
"Otras activ. serv.comun.soc y personales (040)",66,48,11,4,3
"Hogares privados con servicio doméstico (041)",31,31,,,
