"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CUTERVO (000)",34094,564,14675,10553,3034,1015,410,128,19,,3696
"Sin Nivel (001)",10339,255,4545,3252,860,315,133,60,9,,910
"Educación Inicial (002)",55,1,26,11,6,2,,,,,9
"Primaria (003)",17649,266,8261,5363,1354,421,173,44,9,,1758
"Secundaria (004)",3920,34,1565,1229,344,93,43,10,,,602
"Sup. no Univ. Incompleta (005)",335,1,63,127,35,18,3,1,,,87
"Sup. no Univ. Completa (006)",1175,3,147,397,299,110,31,8,1,,179
"Sup. Univ. Incompleta (007)",147,1,27,48,24,8,3,2,,,34
"Sup. Univ. Completa (008)",474,3,41,126,112,48,24,3,,,117
,,,,,,,,,,,
"URBANA (010)",7339,110,2483,2259,932,342,157,55,7,,994
"Sin Nivel (011)",1239,38,528,338,107,47,29,16,2,,134
"Educación Inicial (012)",12,1,5,3,1,1,,,,,1
"Primaria (013)",2702,50,1160,827,246,84,51,17,4,,263
"Secundaria (014)",1597,15,574,504,175,52,24,8,,,245
"Sup. no Univ. Incompleta (015)",259,,45,100,29,14,1,1,,,69
"Sup. no Univ. Completa (016)",1005,3,117,345,257,95,29,8,1,,150
"Sup. Univ. Incompleta (017)",120,1,22,39,19,7,3,2,,,27
"Sup. Univ. Completa (018)",405,2,32,103,98,42,20,3,,,105
,,,,,,,,,,,
"RURAL (020)",26755,454,12192,8294,2102,673,253,73,12,,2702
"Sin Nivel (021)",9100,217,4017,2914,753,268,104,44,7,,776
"Educación Inicial (022)",43,,21,8,5,1,,,,,8
"Primaria (023)",14947,216,7101,4536,1108,337,122,27,5,,1495
"Secundaria (024)",2323,19,991,725,169,41,19,2,,,357
"Sup. no Univ. Incompleta (025)",76,1,18,27,6,4,2,,,,18
"Sup. no Univ. Completa (026)",170,,30,52,42,15,2,,,,29
"Sup. Univ. Incompleta (027)",27,,5,9,5,1,,,,,7
"Sup. Univ. Completa (028)",69,1,9,23,14,6,4,,,,12
