"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia VILCAS HUAMAN (000)",20502,5283,4905,4021,3504,2789
"Hombres (001)",9930,2650,2495,2006,1572,1207
"Mujeres (002)",10572,2633,2410,2015,1932,1582
"PEA (003)",6181,171,1665,2120,1466,759
"Hombres (004)",4703,109,1252,1621,1122,599
"Mujeres (005)",1478,62,413,499,344,160
"Ocupada (006)",5937,165,1556,2047,1425,744
"Hombres (007)",4514,106,1174,1564,1085,585
"Mujeres (008)",1423,59,382,483,340,159
"Desocupada (009)",244,6,109,73,41,15
"Hombres (010)",189,3,78,57,37,14
"Mujeres (011)",55,3,31,16,4,1
"No PEA (012)",14321,5112,3240,1901,2038,2030
"Hombres (013)",5227,2541,1243,385,450,608
"Mujeres (014)",9094,2571,1997,1516,1588,1422
,,,,,,
"URBANA (018)",6627,1543,1651,1459,1110,864
"Hombres (019)",3243,754,831,738,544,376
"Mujeres (020)",3384,789,820,721,566,488
"PEA (021)",2284,52,565,881,542,244
"Hombres (022)",1577,26,373,594,396,188
"Mujeres (023)",707,26,192,287,146,56
"Ocupada (024)",2205,49,522,862,531,241
"Hombres (025)",1530,25,345,585,389,186
"Mujeres (026)",675,24,177,277,142,55
"Desocupada (027)",79,3,43,19,11,3
"Hombres (028)",47,1,28,9,7,2
"Mujeres (029)",32,2,15,10,4,1
"No PEA (030)",4343,1491,1086,578,568,620
"Hombres (031)",1666,728,458,144,148,188
"Mujeres (032)",2677,763,628,434,420,432
,,,,,,
"RURAL (036)",13875,3740,3254,2562,2394,1925
"Hombres (037)",6687,1896,1664,1268,1028,831
"Mujeres (038)",7188,1844,1590,1294,1366,1094
"PEA (039)",3897,119,1100,1239,924,515
"Hombres (040)",3126,83,879,1027,726,411
"Mujeres (041)",771,36,221,212,198,104
"Ocupada (042)",3732,116,1034,1185,894,503
"Hombres (043)",2984,81,829,979,696,399
"Mujeres (044)",748,35,205,206,198,104
"Desocupada (045)",165,3,66,54,30,12
"Hombres (046)",142,2,50,48,30,12
"Mujeres (047)",23,1,16,6,,
"No PEA (048)",9978,3621,2154,1323,1470,1410
"Hombres (049)",3561,1813,785,241,302,420
"Mujeres (050)",6417,1808,1369,1082,1168,990
