"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia SAN PABLO (000)",6579,13,491,80,81,258,2163,334,211,2032,9,125,782
"Agric., ganadería, caza y silvicultura (001)",3864,,3,9,1,,2163,,1,1687,,,
"Explotación de minas y canteras (003)",13,,,,,,,5,2,6,,,
"Industrias manufactureras (004)",330,,,3,3,11,,306,5,2,,,
"Suministro de electricidad, gas y agua (005)",6,,,,,,,3,1,2,,,
"Construcción (006)",227,,3,3,2,,,2,92,125,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",261,,,4,1,194,,16,,46,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,,,1,,4,,12,,,,,
"Comercio al por mayor (009)",6,,,,,6,,,,,,,
"Comercio al por menor (010)",238,,,3,1,184,,4,,46,,,
"Hoteles y restaurantes (011)",64,,,,,46,,,,18,,,
"Trans., almac. y comunicaciones (012)",114,,,3,4,,,,91,16,,,
"Intermediación financiera (013)",1,,,,,,,,,1,,,
"Activid.inmobil., empres. y alquileres (014)",38,,13,6,9,1,,1,2,6,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",111,7,7,5,46,,,,15,22,9,,
"Enseñanza (016)",471,6,450,4,4,,,,,7,,,
"Servicios sociales y de salud (017)",49,,12,25,6,3,,,1,2,,,
"Otras activ. serv.comun.soc y personales (018)",44,,1,17,2,3,,1,1,19,,,
"Hogares privados con servicio doméstico (019)",73,,,,,,,,,73,,,
"Actividad economica no especificada (021)",131,,2,1,3,,,,,,,125,
"Desocupado (022)",782,,,,,,,,,,,,782
"Hombres (023)",5131,12,265,66,52,100,1993,186,209,1616,9,27,596
"Agric., ganadería, caza y silvicultura (024)",3407,,3,9,1,,1993,,1,1400,,,
"Explotación de minas y canteras (026)",13,,,,,,,5,2,6,,,
"Industrias manufactureras (027)",177,,,3,2,7,,158,5,2,,,
"Suministro de electricidad, gas y agua (028)",6,,,,,,,3,1,2,,,
"Construcción (029)",222,,3,3,1,,,2,91,122,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",126,,,4,,79,,16,,27,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",15,,,1,,2,,12,,,,,
"Comercio al por mayor (032)",4,,,,,4,,,,,,,
"Comercio al por menor (033)",107,,,3,,73,,4,,27,,,
"Hoteles y restaurantes (034)",13,,,,,9,,,,4,,,
"Trans., almac. y comunicaciones (035)",111,,,2,3,,,,90,16,,,
"Intermediación financiera (036)",1,,,,,,,,,1,,,
"Activid.inmobil., empres. y alquileres (037)",25,,12,3,4,1,,1,2,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",91,6,6,5,34,,,,15,16,9,,
"Enseñanza (039)",249,6,235,2,1,,,,,5,,,
"Servicios sociales y de salud (040)",30,,4,18,3,2,,,1,2,,,
"Otras activ. serv.comun.soc y personales (041)",31,,1,17,1,2,,1,1,8,,,
"Hogares privados con servicio doméstico (042)",3,,,,,,,,,3,,,
"Actividad economica no especificada (044)",30,,1,,2,,,,,,,27,
"Desocupado (045)",596,,,,,,,,,,,,596
"Mujeres (046)",1448,1,226,14,29,158,170,148,2,416,,98,186
"Agric., ganadería, caza y silvicultura (047)",457,,,,,,170,,,287,,,
"Industrias manufactureras (050)",153,,,,1,4,,148,,,,,
"Construcción (052)",5,,,,1,,,,1,3,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",135,,,,1,115,,,,19,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",2,,,,,2,,,,,,,
"Comercio al por mayor (055)",2,,,,,2,,,,,,,
"Comercio al por menor (056)",131,,,,1,111,,,,19,,,
"Hoteles y restaurantes (057)",51,,,,,37,,,,14,,,
"Trans., almac. y comunicaciones (058)",3,,,1,1,,,,1,,,,
"Activid.inmobil., empres. y alquileres (060)",13,,1,3,5,,,,,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",20,1,1,,12,,,,,6,,,
"Enseñanza (062)",222,,215,2,3,,,,,2,,,
"Servicios sociales y de salud (063)",19,,8,7,3,1,,,,,,,
"Otras activ. serv.comun.soc y personales (064)",13,,,,1,1,,,,11,,,
"Hogares privados con servicio doméstico (065)",70,,,,,,,,,70,,,
"Actividad economica no especificada (067)",101,,1,1,1,,,,,,,98,
"Desocupado (068)",186,,,,,,,,,,,,186
,,,,,,,,,,,,,
"URBANA (069)",1303,9,324,54,56,173,107,81,76,262,7,23,131
"Agric., ganadería, caza y silvicultura (070)",240,,,2,,,107,,,131,,,
"Explotación de minas y canteras (072)",3,,,,,,,1,,2,,,
"Industrias manufactureras (073)",77,,,3,,8,,64,2,,,,
"Suministro de electricidad, gas y agua (074)",1,,,,,,,1,,,,,
"Construcción (075)",67,,3,,,,,1,28,35,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",171,,,4,1,128,,12,,26,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",13,,,1,,3,,9,,,,,
"Comercio al por mayor (078)",2,,,,,2,,,,,,,
"Comercio al por menor (079)",156,,,3,1,123,,3,,26,,,
"Hoteles y restaurantes (080)",43,,,,,32,,,,11,,,
"Trans., almac. y comunicaciones (081)",41,,,3,3,,,,31,4,,,
"Intermediación financiera (082)",1,,,,,,,,,1,,,
"Activid.inmobil., empres. y alquileres (083)",29,,11,4,5,1,,1,2,5,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",78,4,6,4,35,,,,12,10,7,,
"Enseñanza (085)",303,5,291,3,3,,,,,1,,,
"Servicios sociales y de salud (086)",33,,10,15,4,1,,,1,2,,,
"Otras activ. serv.comun.soc y personales (087)",31,,1,15,2,3,,1,,9,,,
"Hogares privados con servicio doméstico (088)",25,,,,,,,,,25,,,
"Actividad economica no especificada (090)",29,,2,1,3,,,,,,,23,
"Desocupado (091)",131,,,,,,,,,,,,131
"Hombres (092)",838,9,157,45,35,65,93,70,74,178,7,9,96
"Agric., ganadería, caza y silvicultura (093)",206,,,2,,,93,,,111,,,
"Explotación de minas y canteras (095)",3,,,,,,,1,,2,,,
"Industrias manufactureras (096)",63,,,3,,5,,53,2,,,,
"Suministro de electricidad, gas y agua (097)",1,,,,,,,1,,,,,
"Construcción (098)",65,,3,,,,,1,27,34,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",80,,,4,,51,,12,,13,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",11,,,1,,1,,9,,,,,
"Comercio al por mayor (101)",2,,,,,2,,,,,,,
"Comercio al por menor (102)",67,,,3,,48,,3,,13,,,
"Hoteles y restaurantes (103)",8,,,,,5,,,,3,,,
"Trans., almac. y comunicaciones (104)",39,,,2,3,,,,30,4,,,
"Intermediación financiera (105)",1,,,,,,,,,1,,,
"Activid.inmobil., empres. y alquileres (106)",18,,10,2,1,1,,1,2,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",61,4,5,4,25,,,,12,4,7,,
"Enseñanza (108)",141,5,133,1,1,,,,,1,,,
"Servicios sociales y de salud (109)",22,,4,12,2,1,,,1,2,,,
"Otras activ. serv.comun.soc y personales (110)",22,,1,15,1,2,,1,,2,,,
"Actividad economica no especificada (113)",12,,1,,2,,,,,,,9,
"Desocupado (114)",96,,,,,,,,,,,,96
"Mujeres (115)",465,,167,9,21,108,14,11,2,84,,14,35
"Agric., ganadería, caza y silvicultura (116)",34,,,,,,14,,,20,,,
"Industrias manufactureras (119)",14,,,,,3,,11,,,,,
"Construcción (121)",2,,,,,,,,1,1,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",91,,,,1,77,,,,13,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",2,,,,,2,,,,,,,
"Comercio al por menor (125)",89,,,,1,75,,,,13,,,
"Hoteles y restaurantes (126)",35,,,,,27,,,,8,,,
"Trans., almac. y comunicaciones (127)",2,,,1,,,,,1,,,,
"Activid.inmobil., empres. y alquileres (129)",11,,1,2,4,,,,,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",17,,1,,10,,,,,6,,,
"Enseñanza (131)",162,,158,2,2,,,,,,,,
"Servicios sociales y de salud (132)",11,,6,3,2,,,,,,,,
"Otras activ. serv.comun.soc y personales (133)",9,,,,1,1,,,,7,,,
"Hogares privados con servicio doméstico (134)",25,,,,,,,,,25,,,
"Actividad economica no especificada (136)",17,,1,1,1,,,,,,,14,
"Desocupado (137)",35,,,,,,,,,,,,35
,,,,,,,,,,,,,
"RURAL (138)",5276,4,167,26,25,85,2056,253,135,1770,2,102,651
"Agric., ganadería, caza y silvicultura (139)",3624,,3,7,1,,2056,,1,1556,,,
"Explotación de minas y canteras (141)",10,,,,,,,4,2,4,,,
"Industrias manufactureras (142)",253,,,,3,3,,242,3,2,,,
"Suministro de electricidad, gas y agua (143)",5,,,,,,,2,1,2,,,
"Construcción (144)",160,,,3,2,,,1,64,90,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",90,,,,,66,,4,,20,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",4,,,,,1,,3,,,,,
"Comercio al por mayor (147)",4,,,,,4,,,,,,,
"Comercio al por menor (148)",82,,,,,61,,1,,20,,,
"Hoteles y restaurantes (149)",21,,,,,14,,,,7,,,
"Trans., almac. y comunicaciones (150)",73,,,,1,,,,60,12,,,
"Activid.inmobil., empres. y alquileres (152)",9,,2,2,4,,,,,1,,,
"Admin.pub. y defensa; p. segur.soc.afil (153)",33,3,1,1,11,,,,3,12,2,,
"Enseñanza (154)",168,1,159,1,1,,,,,6,,,
"Servicios sociales y de salud (155)",16,,2,10,2,2,,,,,,,
"Otras activ. serv.comun.soc y personales (156)",13,,,2,,,,,1,10,,,
"Hogares privados con servicio doméstico (157)",48,,,,,,,,,48,,,
"Actividad economica no especificada (159)",102,,,,,,,,,,,102,
"Desocupado (160)",651,,,,,,,,,,,,651
"Hombres (161)",4293,3,108,21,17,35,1900,116,135,1438,2,18,500
"Agric., ganadería, caza y silvicultura (162)",3201,,3,7,1,,1900,,1,1289,,,
"Explotación de minas y canteras (164)",10,,,,,,,4,2,4,,,
"Industrias manufactureras (165)",114,,,,2,2,,105,3,2,,,
"Suministro de electricidad, gas y agua (166)",5,,,,,,,2,1,2,,,
