"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia JULCAN (000)",935,58,425,233,152,67
"Sin nivel (001)",107,5,14,31,31,26
"Primaria (003)",557,45,229,140,104,39
"Secundaria (004)",208,8,152,38,9,1
"Superior no univ. incompleta (005)",9,,6,3,,
"Superior no univ. completa (006)",25,,12,9,3,1
"Superior univ. incompleta (007)",6,,4,1,1,
"Superior univ. completa (008)",23,,8,11,4,
"Hombres (010)",778,30,326,213,145,64
"Sin nivel (011)",87,1,8,26,28,24
"Primaria (013)",482,24,186,134,100,38
"Secundaria (014)",155,5,110,30,9,1
"Superior no univ. incompleta (015)",5,,3,2,,
"Superior no univ. completa (016)",22,,9,9,3,1
"Superior univ. incompleta (017)",6,,4,1,1,
"Superior univ. completa (018)",21,,6,11,4,
"Mujeres (020)",157,28,99,20,7,3
"Sin nivel (021)",20,4,6,5,3,2
"Primaria (023)",75,21,43,6,4,1
"Secundaria (024)",53,3,42,8,,
"Superior no univ. incompleta (025)",4,,3,1,,
"Superior no univ. completa (026)",3,,3,,,
"Superior univ. completa (028)",2,,2,,,
,,,,,,
"Area Urbana (030)",193,8,81,62,35,7
"Sin nivel (031)",21,,2,8,8,3
"Primaria (033)",82,5,28,25,20,4
"Secundaria (034)",52,3,33,13,3,
"Superior no univ. incompleta (035)",7,,5,2,,
"Superior no univ. completa (036)",17,,8,7,2,
"Superior univ. incompleta (037)",3,,1,1,1,
"Superior univ. completa (038)",11,,4,6,1,
"Hombres (040)",157,6,61,52,32,6
"Sin nivel (041)",14,,,4,8,2
"Primaria (043)",72,3,23,25,17,4
"Secundaria (044)",41,3,27,8,3,
"Superior no univ. incompleta (045)",3,,2,1,,
"Superior no univ. completa (046)",15,,6,7,2,
"Superior univ. incompleta (047)",3,,1,1,1,
"Superior univ. completa (048)",9,,2,6,1,
"Mujeres (050)",36,2,20,10,3,1
"Sin nivel (051)",7,,2,4,,1
"Primaria (053)",10,2,5,,3,
"Secundaria (054)",11,,6,5,,
"Superior no univ. incompleta (055)",4,,3,1,,
"Superior no univ. completa (056)",2,,2,,,
"Superior univ. completa (058)",2,,2,,,
,,,,,,
"Area Rural (060)",742,50,344,171,117,60
"Sin nivel (061)",86,5,12,23,23,23
"Primaria (063)",475,40,201,115,84,35
"Secundaria (064)",156,5,119,25,6,1
"Superior no univ. incompleta (065)",2,,1,1,,
"Superior no univ. completa (066)",8,,4,2,1,1
"Superior univ. incompleta (067)",3,,3,,,
"Superior univ. completa (068)",12,,4,5,3,
"Hombres (070)",621,24,265,161,113,58
"Sin nivel (071)",73,1,8,22,20,22
"Primaria (073)",410,21,163,109,83,34
"Secundaria (074)",114,2,83,22,6,1
"Superior no univ. incompleta (075)",2,,1,1,,
"Superior no univ. completa (076)",7,,3,2,1,1
"Superior univ. incompleta (077)",3,,3,,,
"Superior univ. completa (078)",12,,4,5,3,
"Mujeres (080)",121,26,79,10,4,2
"Sin nivel (081)",13,4,4,1,3,1
"Primaria (083)",65,19,38,6,1,1
"Secundaria (084)",42,3,36,3,,
"Superior no univ. completa (086)",1,,1,,,
