"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANAS (000)",9607,9153,53,1411,1459,1404,2397,1612,669,148,454,36757
"De 12 a 14 años (001)",21,8,,7,1,,,,,,13,9
"De 15 a 19 años (002)",213,171,3,138,24,5,1,,,,42,205
"De 20 a 24 años (003)",891,729,1,385,250,68,22,3,,,162,1199
"De 25 a 29 años (004)",1052,951,1,249,296,230,164,11,,,101,2288
"De 30 a 34 años (005)",1030,984,3,151,222,241,284,71,12,,46,3124
"De 35 a 39 años (006)",1145,1123,2,98,160,219,401,202,36,5,22,4486
"De 40 a 44 años (007)",980,975,5,63,90,121,320,234,114,28,5,4797
"De 45 a 49 años (008)",868,855,1,52,79,93,248,239,116,27,13,4417
"De 50 y más años (009)",3407,3357,37,268,337,427,957,852,391,88,50,16232
"PEA (010)",2961,2807,22,459,439,444,749,465,190,39,154,10988
"De 12 a 14 años (011)",3,2,,1,1,,,,,,1,3
"De 15 a 19 años (012)",60,50,1,42,5,2,,,,,10,58
"De 20 a 24 años (013)",245,193,,111,62,14,4,2,,,52,306
"De 25 a 29 años (014)",341,302,,89,88,68,54,3,,,39,711
"De 30 a 34 años (015)",343,321,,55,77,74,88,24,3,,22,998
"De 35 a 39 años (016)",405,395,1,47,62,80,121,72,11,1,10,1501
"De 40 a 44 años (017)",336,336,2,31,21,56,109,75,35,7,,1569
"De 45 a 49 años (018)",308,302,,16,30,34,98,78,37,9,6,1537
"De 50 y más años (019)",920,906,18,67,93,116,275,211,104,22,14,4305
"Ocupada (020)",2910,2769,22,447,432,439,741,459,190,39,141,10874
"De 12 a 14 años (021)",3,2,,1,1,,,,,,1,3
"De 15 a 19 años (022)",56,46,1,39,4,2,,,,,10,53
