"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",49440,13334,14159,10558,7339,4050
"Hombres (001)",25317,6744,7376,5640,3678,1879
"Mujeres (002)",24123,6590,6783,4918,3661,2171
"PEA (003)",16469,258,5757,5851,3424,1179
"Hombres (004)",13569,198,4709,4813,2839,1010
"Mujeres (005)",2900,60,1048,1038,585,169
"Ocupada (006)",15421,232,5199,5547,3297,1146
"Hombres (007)",12687,179,4260,4548,2721,979
"Mujeres (008)",2734,53,939,999,576,167
"Desocupada (009)",1048,26,558,304,127,33
"Hombres (010)",882,19,449,265,118,31
"Mujeres (011)",166,7,109,39,9,2
"No PEA (012)",32971,13076,8402,4707,3915,2871
"Hombres (013)",11748,6546,2667,827,839,869
"Mujeres (014)",21223,6530,5735,3880,3076,2002
,,,,,,
"URBANA (018)",17252,4498,5015,3852,2619,1268
"Hombres (019)",8220,2226,2398,1843,1214,539
"Mujeres (020)",9032,2272,2617,2009,1405,729
"PEA (021)",5799,63,1859,2295,1285,297
"Hombres (022)",4105,43,1328,1592,918,224
"Mujeres (023)",1694,20,531,703,367,73
"Ocupada (024)",5261,58,1581,2127,1216,279
"Hombres (025)",3651,39,1102,1450,852,208
"Mujeres (026)",1610,19,479,677,364,71
"Desocupada (027)",538,5,278,168,69,18
"Hombres (028)",454,4,226,142,66,16
"Mujeres (029)",84,1,52,26,3,2
"No PEA (030)",11453,4435,3156,1557,1334,971
"Hombres (031)",4115,2183,1070,251,296,315
"Mujeres (032)",7338,2252,2086,1306,1038,656
,,,,,,
"RURAL (036)",32188,8836,9144,6706,4720,2782
"Hombres (037)",17097,4518,4978,3797,2464,1340
"Mujeres (038)",15091,4318,4166,2909,2256,1442
"PEA (039)",10670,195,3898,3556,2139,882
"Hombres (040)",9464,155,3381,3221,1921,786
"Mujeres (041)",1206,40,517,335,218,96
"Ocupada (042)",10160,174,3618,3420,2081,867
"Hombres (043)",9036,140,3158,3098,1869,771
"Mujeres (044)",1124,34,460,322,212,96
"Desocupada (045)",510,21,280,136,58,15
"Hombres (046)",428,15,223,123,52,15
"Mujeres (047)",82,6,57,13,6,
"No PEA (048)",21518,8641,5246,3150,2581,1900
"Hombres (049)",7633,4363,1597,576,543,554
"Mujeres (050)",13885,4278,3649,2574,2038,1346
