"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHEPEN (000)",75980,1310,21297,19471,15757,12385,5760
"Hombres (001)",37909,645,10858,9771,7521,6168,2946
"Mujeres (002)",38071,665,10439,9700,8236,6217,2814
"Viviendas particulares (003)",75772,1304,21277,19394,15703,12344,5750
"Hombres (004)",37780,642,10847,9729,7482,6139,2941
"Mujeres (005)",37992,662,10430,9665,8221,6205,2809
"Viviendas colectivas (006)",201,6,20,72,53,40,10
"Hombres (007)",124,3,11,38,39,28,5
"Mujeres (008)",77,3,9,34,14,12,5
"Otro tipo (009)",7,,,5,1,1,
"Hombres (010)",5,,,4,,1,
"Mujeres (011)",2,,,1,1,,
,,,,,,,
"URBANA (012)",62153,1053,17038,15784,13131,10301,4846
"Hombres (013)",30617,511,8629,7816,6168,5059,2434
"Mujeres (014)",31536,542,8409,7968,6963,5242,2412
"Viviendas particulares (015)",61946,1047,17018,15707,13077,10261,4836
"Hombres (016)",30489,508,8618,7774,6129,5031,2429
"Mujeres (017)",31457,539,8400,7933,6948,5230,2407
"Viviendas colectivas (018)",200,6,20,72,53,39,10
"Hombres (019)",123,3,11,38,39,27,5
"Mujeres (020)",77,3,9,34,14,12,5
"Otro tipo (021)",7,,,5,1,1,
"Hombres (022)",5,,,4,,1,
"Mujeres (023)",2,,,1,1,,
,,,,,,,
"RURAL (024)",13827,257,4259,3687,2626,2084,914
"Hombres (025)",7292,134,2229,1955,1353,1109,512
"Mujeres (026)",6535,123,2030,1732,1273,975,402
"Viviendas particulares (027)",13826,257,4259,3687,2626,2083,914
"Hombres (028)",7291,134,2229,1955,1353,1108,512
"Mujeres (029)",6535,123,2030,1732,1273,975,402
"Viviendas colectivas (030)",1,,,,,1,
"Hombres (031)",1,,,,,1,
