"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia MAYNAS",,,,,,,,,
"Hogares (001)",100394,4206,1640,1071,754,507,413,589,91214
"Ocupantes presentes (002)",486072,19693,7205,4342,3192,2377,2112,3936,443215
"Casa independiente",,,,,,,,,
"Hogares (004)",83487,3865,1476,956,691,455,359,504,75181
"Ocupantes presentes (005)",410603,18477,6674,3918,2943,2145,1859,3360,371227
"Departamento en edificio",,,,,,,,,
"Hogares (007)",545,18,11,11,3,2,1,3,496
"Ocupantes presentes (008)",1755,53,38,35,12,6,1,9,1601
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",3584,153,57,47,24,13,19,14,3257
"Ocupantes presentes (011)",10105,381,147,161,86,51,68,44,9167
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",407,16,8,4,2,1,1,3,372
"Ocupantes presentes (014)",1723,72,29,18,6,1,6,19,1572
"Choza o cabaña",,,,,,,,,
"Hogares (016)",11609,131,79,44,26,33,31,60,11205
"Ocupantes presentes (017)",58766,619,287,175,106,161,166,475,56777
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",580,13,6,8,5,2,1,5,540
"Ocupantes presentes (020)",2600,70,23,32,27,8,6,29,2405
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",145,10,3,1,1,1,,,129
"Ocupantes presentes (023)",424,21,7,3,4,5,,,384
"Otro tipo",,,,,,,,,
"Hogares (025)",37,,,,2,,1,,34
"Ocupantes presentes (026)",96,,,,8,,6,,82
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",80945,3972,1519,998,707,455,366,494,72434
"Ocupantes presentes (029)",386891,18635,6773,4048,2989,2119,1858,3202,347267
"Casa independiente",,,,,,,,,
"Hogares (031)",75667,3762,1435,927,670,436,343,469,67625
"Ocupantes presentes (032)",370225,18038,6530,3799,2846,2048,1771,3101,332092
"Departamento en edificio",,,,,,,,,
"Hogares (034)",545,18,11,11,3,2,1,3,496
"Ocupantes presentes (035)",1755,53,38,35,12,6,1,9,1601
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",3584,153,57,47,24,13,19,14,3257
"Ocupantes presentes (038)",10105,381,147,161,86,51,68,44,9167
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",407,16,8,4,2,1,1,3,372
"Ocupantes presentes (041)",1723,72,29,18,6,1,6,19,1572
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",580,13,6,8,5,2,1,5,540
"Ocupantes presentes (047)",2600,70,23,32,27,8,6,29,2405
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",130,10,2,1,1,1,,,115
"Ocupantes presentes (050)",394,21,6,3,4,5,,,355
"Otro tipo",,,,,,,,,
"Hogares (052)",32,,,,2,,1,,29
"Ocupantes presentes (053)",89,,,,8,,6,,75
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",19449,234,121,73,47,52,47,95,18780
"Ocupantes presentes (056)",99181,1058,432,294,203,258,254,734,95948
"Casa independiente",,,,,,,,,
"Hogares (058)",7820,103,41,29,21,19,16,35,7556
"Ocupantes presentes (059)",40378,439,144,119,97,97,88,259,39135
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",11609,131,79,44,26,33,31,60,11205
"Ocupantes presentes (071)",58766,619,287,175,106,161,166,475,56777
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",15,,1,,,,,,14
"Ocupantes presentes (077)",30,,1,,,,,,29
"Otro tipo",,,,,,,,,
"Hogares (079)",5,,,,,,,,5
"Ocupantes presentes (080)",7,,,,,,,,7
