"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PARINACOCHAS (000)",7887,126,3209,2528,721,297,130,45,10,,821
"Catolica (001)",7145,114,2884,2295,667,270,121,40,8,,746
"Cristiana / Evangelica (002)",514,10,226,168,38,20,2,2,1,,47
"Otra (003)",157,1,70,45,11,6,4,2,1,,17
"Ninguna (004)",71,1,29,20,5,1,3,1,,,11
,,,,,,,,,,,
"URBANA (006)",4596,64,1783,1500,469,198,87,31,7,,457
"Catolica (007)",4309,59,1657,1405,448,188,83,28,7,,434
"Cristiana / Evangelica (008)",178,4,81,60,14,7,1,1,,,10
"Otra (009)",72,1,35,21,5,3,,1,,,6
"Ninguna (010)",37,,10,14,2,,3,1,,,7
,,,,,,,,,,,
"RURAL (012)",3291,62,1426,1028,252,99,43,14,3,,364
"Catolica (013)",2836,55,1227,890,219,82,38,12,1,,312
"Cristiana / Evangelica (014)",336,6,145,108,24,13,1,1,1,,37
"Otra (015)",85,,35,24,6,3,4,1,1,,11
"Ninguna (016)",34,1,19,6,3,1,,,,,4
