"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MOYOBAMBA (000)",39240,38095,11022,5844,5440,4361,5386,2912,1775,1355,1145,102540
"De 12 a 14 años (001)",4287,4230,4196,33,1,,,,,,57,35
"De 15 a 19 años (002)",5987,5827,4456,1151,181,25,14,,,,160,1644
"De 20 a 24 años (003)",5049,4675,1260,1906,1052,351,93,13,,,374,5536
"De 25 a 29 años (004)",4730,4456,460,1251,1376,805,502,60,2,,274,8951
"De 30 a 34 años (005)",4132,4019,210,625,1109,935,876,220,37,7,113,11249
"De 35 a 39 años (006)",3579,3532,119,339,717,769,1021,405,131,31,47,12572
"De 40 a 44 años (007)",2936,2903,83,175,402,579,852,502,206,104,33,12555
"De 45 a 49 años (008)",2253,2239,55,118,231,356,632,436,276,135,14,11110
"De 50 y más años (009)",6287,6214,183,246,371,541,1396,1276,1123,1078,73,38888
"PEA (010)",11122,10615,2308,1968,1897,1485,1596,794,352,215,507,27653
"De 12 a 14 años (011)",271,267,259,8,,,,,,,4,8
"De 15 a 19 años (012)",1208,1173,929,208,26,6,4,,,,35,294
"De 20 a 24 años (013)",1475,1294,521,493,208,50,17,5,,,181,1162
"De 25 a 29 años (014)",1541,1375,286,487,349,155,85,13,,,166,2095
"De 30 a 34 años (015)",1518,1450,134,324,449,280,213,43,5,2,68,3313
"De 35 a 39 años (016)",1401,1379,71,202,364,316,303,95,26,2,22,4037
"De 40 a 44 años (017)",1215,1201,37,101,243,276,316,160,49,19,14,4429
"De 45 a 49 años (018)",925,918,20,65,136,192,262,161,55,27,7,3866
"De 50 y más años (019)",1568,1558,51,80,122,210,396,317,217,165,10,8449
"Ocupada (020)",10855,10368,2182,1923,1877,1466,1586,778,344,212,487,27264
