"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia ATALAYA (000)",9243,5,40,143,386,1218,4779,2672
"De 12 a 14 años (001)",74,,,,,,11,63
"De 15 a 19 años (002)",1030,,,,,,603,427
"De 20 a 24 años (003)",1644,,,,,9,1069,566
"De 25 a 29 años (004)",1445,,,,,40,1037,368
"De 30 a 34 años (005)",1222,,,,,128,841,253
"De 35 a 39 años (006)",1076,,,,6,196,674,200
"De 40 a 44 años (007)",806,,,,30,257,333,186
"De 45 a 49 años (008)",667,,,2,55,274,177,159
"De 50 y más años (009)",1279,5,40,141,295,314,34,450
"PEA (010)",3317,,9,45,149,529,1611,974
"De 12 a 14 años (011)",13,,,,,,2,11
"De 15 a 19 años (012)",261,,,,,,145,116
"De 20 a 24 años (013)",549,,,,,5,331,213
"De 25 a 29 años (014)",546,,,,,22,363,161
"De 30 a 34 años (015)",484,,,,,55,315,114
"De 35 a 39 años (016)",421,,,,3,104,231,83
"De 40 a 44 años (017)",386,,,,17,122,152,95
"De 45 a 49 años (018)",261,,,1,30,109,59,62
"De 50 y más años (019)",396,,9,44,99,112,13,119
"Ocupada (020)",3195,,9,45,147,513,1540,941
"De 12 a 14 años (021)",13,,,,,,2,11
"De 15 a 19 años (022)",244,,,,,,138,106
"De 20 a 24 años (023)",517,,,,,5,309,203
"De 25 a 29 años (024)",527,,,,,22,346,159
"De 30 a 34 años (025)",472,,,,,53,306,113
"De 35 a 39 años (026)",406,,,,3,100,224,79
"De 40 a 44 años (027)",371,,,,17,118,143,93
"De 45 a 49 años (028)",253,,,1,29,104,59,60
"De 50 y más años (029)",392,,9,44,98,111,13,117
"Desocupada (030)",122,,,,2,16,71,33
"De 15 a 19 años (032)",17,,,,,,7,10
"De 20 a 24 años (033)",32,,,,,,22,10
"De 25 a 29 años (034)",19,,,,,,17,2
"De 30 a 34 años (035)",12,,,,,2,9,1
"De 35 a 39 años (036)",15,,,,,4,7,4
"De 40 a 44 años (037)",15,,,,,4,9,2
"De 45 a 49 años (038)",8,,,,1,5,,2
"De 50 y más años (039)",4,,,,1,1,,2
"No PEA (040)",5926,5,31,98,237,689,3168,1698
"De 12 a 14 años (041)",61,,,,,,9,52
"De 15 a 19 años (042)",769,,,,,,458,311
"De 20 a 24 años (043)",1095,,,,,4,738,353
"De 25 a 29 años (044)",899,,,,,18,674,207
"De 30 a 34 años (045)",738,,,,,73,526,139
"De 35 a 39 años (046)",655,,,,3,92,443,117
"De 40 a 44 años (047)",420,,,,13,135,181,91
"De 45 a 49 años (048)",406,,,1,25,165,118,97
