"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ZARUMILLA (000)",39616,912,12025,11790,8383,5067,1439
"Casa independiente (001)",38457,887,11708,11385,8128,4933,1416
"Departamento en edificio (002)",203,5,55,68,54,19,2
"Vivienda en quinta (003)",519,13,129,190,117,62,8
"Vivienda en casa de vecindad (004)",110,1,33,42,21,11,2
"Choza o cabaña (005)",18,,4,3,4,4,3
"Vivienda improvisada (006)",136,5,42,48,21,16,4
"Local no destinado para hab.humana (007)",102,1,26,29,24,18,4
"Otro tipo (008)",71,,28,25,14,4,
,,,,,,,
"URBANA (009)",35909,821,10935,10690,7655,4570,1238
"Casa independiente (010)",34775,796,10625,10291,7405,4440,1218
"Departamento en edificio (011)",203,5,55,68,54,19,2
"Vivienda en quinta (012)",519,13,129,190,117,62,8
"Vivienda en casa de vecindad (013)",110,1,33,42,21,11,2
"Vivienda improvisada (015)",136,5,42,48,21,16,4
"Local no destinado para hab.humana (016)",95,1,23,26,23,18,4
"Otro tipo (017)",71,,28,25,14,4,
,,,,,,,
"RURAL (018)",3707,91,1090,1100,728,497,201
"Casa independiente (019)",3682,91,1083,1094,723,493,198
"Choza o cabaña (023)",18,,4,3,4,4,3
"Local no destinado para hab.humana (025)",7,,3,3,1,,
