"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia SAN IGNACIO",,,,,,,,,
"Viviendas particulares (001)",29121,9198,9986,4259,3176,976,829,247,450
"Ocupantes presentes (002)",130377,36973,44585,20362,15739,4782,4197,1353,2386
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",28081,8544,9752,4180,3136,967,824,239,439
"Ocupantes presentes (005)",126300,34587,43579,19990,15564,4744,4178,1321,2337
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",24,9,8,1,2,1,,1,2
"Ocupantes presentes (008)",89,38,23,2,9,3,,4,10
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",180,80,41,24,12,2,5,7,9
"Ocupantes presentes (011)",663,228,168,112,60,9,19,28,39
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",264,169,48,26,15,6,,,
"Ocupantes presentes (014)",895,469,219,120,61,26,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",535,370,133,24,8,,,,
"Ocupantes presentes (017)",2314,1563,587,123,41,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",8,8,,,,,,,
"Ocupantes presentes (020)",31,31,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",23,12,4,4,3,,,,
"Ocupantes presentes (023)",72,44,9,15,4,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",6,6,,,,,,,
"Ocupantes presentes (026)",13,13,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",4801,1214,1439,844,586,254,218,97,149
"Ocupantes presentes (029)",19777,4088,5829,3695,2705,1182,1019,523,736
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",4315,942,1341,791,556,245,213,89,138
"Ocupantes presentes (032)",18070,3306,5417,3451,2574,1144,1000,491,687
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",24,9,8,1,2,1,,1,2
"Ocupantes presentes (035)",89,38,23,2,9,3,,4,10
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",180,80,41,24,12,2,5,7,9
"Ocupantes presentes (038)",663,228,168,112,60,9,19,28,39
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",264,169,48,26,15,6,,,
"Ocupantes presentes (041)",895,469,219,120,61,26,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",8,8,,,,,,,
"Ocupantes presentes (047)",31,31,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",7,3,1,2,1,,,,
"Ocupantes presentes (050)",25,12,2,10,1,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",3,3,,,,,,,
"Ocupantes presentes (053)",4,4,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",24320,7984,8547,3415,2590,722,611,150,301
"Ocupantes presentes (056)",110600,32885,38756,16667,13034,3600,3178,830,1650
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",23766,7602,8411,3389,2580,722,611,150,301
"Ocupantes presentes (059)",108230,31281,38162,16539,12990,3600,3178,830,1650
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",535,370,133,24,8,,,,
"Ocupantes presentes (071)",2314,1563,587,123,41,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",16,9,3,2,2,,,,
"Ocupantes presentes (077)",47,32,7,5,3,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",3,3,,,,,,,
"Ocupantes presentes (080)",9,9,,,,,,,
