"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia POMABAMBA",,,,,,,,
"Hogares (001)",6543,4136,1304,396,27,206,237,2249
"Ocupantes presentes (002)",27783,18701,5706,1672,117,957,1095,8437
"Casa independiente",,,,,,,,
"Hogares (004)",6478,4095,1290,392,26,204,234,2227
"Ocupantes presentes (005)",27512,18514,5650,1662,116,951,1083,8361
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (010)",17,15,7,3,1,1,,2
"Ocupantes presentes (011)",66,64,29,7,1,3,,2
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",13,9,6,1,,1,3,2
"Ocupantes presentes (014)",46,28,22,3,,3,12,10
"Choza o cabaña",,,,,,,,
"Hogares (016)",33,16,,,,,,17
"Ocupantes presentes (017)",148,90,,,,,,58
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",2,1,1,,,,,1
"Ocupantes presentes (023)",11,5,5,,,,,6
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",1519,1178,884,332,27,191,214,227
"Ocupantes presentes (029)",5971,4829,3737,1379,117,892,994,710
"Casa independiente",,,,,,,,
"Hogares (031)",1487,1153,870,328,26,189,211,222
"Ocupantes presentes (032)",5848,4732,3681,1369,116,886,982,692
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (037)",17,15,7,3,1,1,,2
"Ocupantes presentes (038)",66,64,29,7,1,3,,2
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",13,9,6,1,,1,3,2
"Ocupantes presentes (041)",46,28,22,3,,3,12,10
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",2,1,1,,,,,1
"Ocupantes presentes (050)",11,5,5,,,,,6
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",5024,2958,420,64,,15,23,2022
"Ocupantes presentes (056)",21812,13872,1969,293,,65,101,7727
"Casa independiente",,,,,,,,
"Hogares (058)",4991,2942,420,64,,15,23,2005
"Ocupantes presentes (059)",21664,13782,1969,293,,65,101,7669
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",33,16,,,,,,17
"Ocupantes presentes (071)",148,90,,,,,,58
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
