"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",4480,736,921,2137,37,581,68
"Sin nivel (001)",1054,8,216,597,4,201,28
"Educación inicial (002)",11,1,1,7,,2,
"Primaria (003)",1311,19,320,756,13,183,20
"Secundaria (004)",850,66,209,430,8,128,9
"Superior no univ. incompleta (005)",198,53,43,81,3,15,3
"Superior no univ. completa (006)",635,338,95,153,8,36,5
"Superior univ. incompleta (007)",108,54,15,29,,8,2
"Superior univ. completa (008)",313,197,22,84,1,8,1
"Hombres (010)",3559,509,832,1802,35,377,4
"Sin nivel (011)",755,2,184,455,3,110,1
"Educación inicial (012)",10,1,,7,,2,
"Primaria (013)",1103,11,284,685,13,108,2
"Secundaria (014)",748,52,197,380,7,111,1
"Superior no univ. incompleta (015)",148,36,39,57,3,13,
"Superior no univ. completa (016)",472,231,92,120,8,21,
"Superior univ. incompleta (017)",83,39,14,24,,6,
"Superior univ. completa (018)",240,137,22,74,1,6,
"Mujeres (020)",921,227,89,335,2,204,64
"Sin nivel (021)",299,6,32,142,1,91,27
"Educación inicial (022)",1,,1,,,,
"Primaria (023)",208,8,36,71,,75,18
"Secundaria (024)",102,14,12,50,1,17,8
"Superior no univ. incompleta (025)",50,17,4,24,,2,3
"Superior no univ. completa (026)",163,107,3,33,,15,5
"Superior univ. incompleta (027)",25,15,1,5,,2,2
"Superior univ. completa (028)",73,60,,10,,2,1
,,,,,,,
"URBANA (030)",986,379,146,352,7,75,27
"Sin nivel (031)",81,2,10,52,1,10,6
"Educación inicial (032)",2,1,1,,,,
"Primaria (033)",136,8,32,65,,23,8
"Secundaria (034)",185,22,54,80,4,20,5
"Superior no univ. incompleta (035)",88,30,18,33,1,4,2
"Superior no univ. completa (036)",272,167,19,67,1,13,5
"Superior univ. incompleta (037)",50,33,3,11,,2,1
"Superior univ. completa (038)",172,116,9,44,,3,
"Hombres (040)",646,244,134,222,6,38,2
"Sin nivel (041)",35,,9,19,1,5,1
"Educación inicial (042)",1,1,,,,,
"Primaria (043)",83,5,28,41,,9,
"Secundaria (044)",142,16,50,56,3,16,1
"Superior no univ. incompleta (045)",55,17,16,19,1,2,
"Superior no univ. completa (046)",176,109,19,43,1,4,
"Superior univ. incompleta (047)",33,22,3,7,,1,
"Superior univ. completa (048)",121,74,9,37,,1,
"Mujeres (050)",340,135,12,130,1,37,25
"Sin nivel (051)",46,2,1,33,,5,5
"Educación inicial (052)",1,,1,,,,
"Primaria (053)",53,3,4,24,,14,8
"Secundaria (054)",43,6,4,24,1,4,4
"Superior no univ. incompleta (055)",33,13,2,14,,2,2
"Superior no univ. completa (056)",96,58,,24,,9,5
"Superior univ. incompleta (057)",17,11,,4,,1,1
"Superior univ. completa (058)",51,42,,7,,2,
,,,,,,,
"RURAL (060)",3494,357,775,1785,30,506,41
"Sin nivel (061)",973,6,206,545,3,191,22
"Educación inicial (062)",9,,,7,,2,
"Primaria (063)",1175,11,288,691,13,160,12
"Secundaria (064)",665,44,155,350,4,108,4
"Superior no univ. incompleta (065)",110,23,25,48,2,11,1
"Superior no univ. completa (066)",363,171,76,86,7,23,
"Superior univ. incompleta (067)",58,21,12,18,,6,1
"Superior univ. completa (068)",141,81,13,40,1,5,1
"Hombres (070)",2913,265,698,1580,29,339,2
"Sin nivel (071)",720,2,175,436,2,105,
"Educación inicial (072)",9,,,7,,2,
"Primaria (073)",1020,6,256,644,13,99,2
"Secundaria (074)",606,36,147,324,4,95,
"Superior no univ. incompleta (075)",93,19,23,38,2,11,
"Superior no univ. completa (076)",296,122,73,77,7,17,
"Superior univ. incompleta (077)",50,17,11,17,,5,
"Superior univ. completa (078)",119,63,13,37,1,5,
"Mujeres (080)",581,92,77,205,1,167,39
"Sin nivel (081)",253,4,31,109,1,86,22
"Primaria (083)",155,5,32,47,,61,10
"Secundaria (084)",59,8,8,26,,13,4
"Superior no univ. incompleta (085)",17,4,2,10,,,1
"Superior no univ. completa (086)",67,49,3,9,,6,
"Superior univ. incompleta (087)",8,4,1,1,,1,1
"Superior univ. completa (088)",22,18,,3,,,1
