"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CAJATAMBO",,,,,,,,,
"Viviendas particulares (001)",1448,83,145,38,131,10,4,6,1031
"Ocupantes presentes (002)",4822,237,326,116,447,31,22,22,3621
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",1397,69,141,37,131,10,4,5,1000
"Ocupantes presentes (005)",4636,189,310,113,447,31,22,12,3512
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",1,,,,,,,,1
"Ocupantes presentes (008)",5,,,,,,,,5
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",10,3,1,1,,,,,5
"Ocupantes presentes (011)",31,9,3,3,,,,,16
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",33,10,2,,,,,1,20
"Ocupantes presentes (014)",130,35,10,,,,,10,75
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",7,1,1,,,,,,5
"Ocupantes presentes (023)",20,4,3,,,,,,13
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1172,79,98,29,101,10,4,6,845
"Ocupantes presentes (029)",3977,228,258,89,354,31,22,22,2973
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1121,65,94,28,101,10,4,5,814
"Ocupantes presentes (032)",3791,180,242,86,354,31,22,12,2864
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",1,,,,,,,,1
"Ocupantes presentes (035)",5,,,,,,,,5
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",10,3,1,1,,,,,5
"Ocupantes presentes (038)",31,9,3,3,,,,,16
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",33,10,2,,,,,1,20
"Ocupantes presentes (041)",130,35,10,,,,,10,75
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",7,1,1,,,,,,5
"Ocupantes presentes (050)",20,4,3,,,,,,13
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",276,4,47,9,30,,,,186
"Ocupantes presentes (056)",845,9,68,27,93,,,,648
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",276,4,47,9,30,,,,186
"Ocupantes presentes (059)",845,9,68,27,93,,,,648
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
