"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ILO (000)",26126,15237,3048,3525,4316
"Sin nivel (001)",410,359,18,18,15
"Educación inicial (002)",19,13,2,3,1
"Primaria (003)",2685,2144,187,179,175
"Secundaria (004)",9247,6171,1163,983,930
"Superior no univ. incompleta (005)",2625,1592,378,316,339
"Superior no univ. completa (006)",4933,2314,585,897,1137
"Superior univ. incompleta (007)",1878,997,254,277,350
"Superior univ. completa (008)",4329,1647,461,852,1369
"De 06 a 14 años (010)",155,141,10,4,
"Educación inicial (012)",4,3,,1,
"Primaria (013)",70,62,6,2,
"Secundaria (014)",81,76,4,1,
"De 15 a 29 años (020)",7411,4519,1112,963,817
"Sin nivel (021)",24,17,3,3,1
"Educación inicial (022)",6,4,2,,
"Primaria (023)",243,195,22,18,8
"Secundaria (024)",3044,2162,462,265,155
"Superior no univ. incompleta (025)",1067,659,177,131,100
"Superior no univ. completa (026)",1533,773,227,272,261
"Superior univ. incompleta (027)",597,338,100,84,75
"Superior univ. completa (028)",897,371,119,190,217
"De 30 a 44 años (030)",10552,5949,1220,1606,1777
"Sin nivel (031)",107,91,5,6,5
"Educación inicial (032)",9,6,,2,1
"Primaria (033)",674,548,53,46,27
"Secundaria (034)",3456,2353,444,369,290
"Superior no univ. incompleta (035)",1058,669,134,132,123
"Superior no univ. completa (036)",2358,1073,263,481,541
"Superior univ. incompleta (037)",750,402,92,118,138
"Superior univ. completa (038)",2140,807,229,452,652
"De 45 a 64 años (040)",7168,3975,637,908,1648
"Sin nivel (041)",180,159,6,8,7
"Primaria (043)",1349,1048,88,98,115
"Secundaria (044)",2470,1436,232,337,465
"Superior no univ. incompleta (045)",468,243,59,52,114
"Superior no univ. completa (046)",983,429,91,141,322
"Superior univ. incompleta (047)",498,235,56,71,136
"Superior univ. completa (048)",1220,425,105,201,489
"De 65 y más años (050)",840,653,69,44,74
"Sin nivel (051)",99,92,4,1,2
"Primaria (053)",349,291,18,15,25
"Secundaria (054)",196,144,21,11,20
"Superior no univ. incompleta (055)",32,21,8,1,2
"Superior no univ. completa (056)",59,39,4,3,13
"Superior univ. incompleta (057)",33,22,6,4,1
"Superior univ. completa (058)",72,44,8,9,11
,,,,,
