"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia DATEM DEL MARAÑON (000)",44144,21943,2426,530,19367
"Quechua (001)",1736,865,35,9,830
"Aymara (002)",13,4,1,,8
"Asháninka (003)",8,7,,2,1
"Otra lengua nativa (004)",20014,11269,565,61,8127
"Castellano (005)",22329,9779,1825,458,10376
"Idioma Extranjero (006)",1,,,,1
"Es Sordomudo/a (007)",43,19,,,24
"Hombres (009)",22524,10585,1294,416,10343
"Quechua (010)",825,391,28,7,402
"Aymara (011)",7,1,,,6
"Asháninka (012)",4,4,,1,
"Otra lengua nativa (013)",9947,5375,296,29,4253
"Castellano (014)",11715,4803,970,379,5667
"Idioma Extranjero (015)",1,,,,1
"Es Sordomudo/a (016)",25,11,,,14
"Mujeres (018)",21620,11358,1132,114,9024
"Quechua (019)",911,474,7,2,428
"Aymara (020)",6,3,1,,2
"Asháninka (021)",4,3,,1,1
"Otra lengua nativa (022)",10067,5894,269,32,3874
"Castellano (023)",10614,4976,855,79,4709
"Es Sordomudo/a (025)",18,8,,,10
,,,,,
"URBANA (027)",12297,4596,1238,202,6272
"Quechua (028)",521,238,12,5,266
"Aymara (029)",3,,1,,2
"Asháninka (030)",2,2,,2,
"Otra lengua nativa (031)",1364,636,74,19,637
"Castellano (032)",10388,3712,1151,176,5356
"Idioma Extranjero (033)",1,,,,1
"Es Sordomudo/a (034)",18,8,,,10
"Hombres (036)",6193,2189,639,131,3242
"Quechua (037)",260,123,8,3,126
"Aymara (038)",1,,,,1
"Asháninka (039)",1,1,,1,
"Otra lengua nativa (040)",678,294,48,13,325
"Castellano (041)",5242,1767,583,114,2783
"Idioma Extranjero (042)",1,,,,1
"Es Sordomudo/a (043)",10,4,,,6
"Mujeres (045)",6104,2407,599,71,3030
"Quechua (046)",261,115,4,2,140
"Aymara (047)",2,,1,,1
"Asháninka (048)",1,1,,1,
"Otra lengua nativa (049)",686,342,26,6,312
"Castellano (050)",5146,1945,568,62,2573
"Es Sordomudo/a (052)",8,4,,,4
,,,,,
"RURAL (054)",31847,17347,1188,328,13095
"Quechua (055)",1215,627,23,4,564
"Aymara (056)",10,4,,,6
"Asháninka (057)",6,5,,,1
"Otra lengua nativa (058)",18650,10633,491,42,7490
"Castellano (059)",11941,6067,674,282,5020
"Es Sordomudo/a (061)",25,11,,,14
"Hombres (063)",16331,8396,655,285,7101
"Quechua (064)",565,268,20,4,276
"Aymara (065)",6,1,,,5
"Asháninka (066)",3,3,,,
"Otra lengua nativa (067)",9269,5081,248,16,3928
"Castellano (068)",6473,3036,387,265,2884
"Es Sordomudo/a (070)",15,7,,,8
"Mujeres (072)",15516,8951,533,43,5994
"Quechua (073)",650,359,3,,288
"Aymara (074)",4,3,,,1
"Asháninka (075)",3,2,,,1
"Otra lengua nativa (076)",9381,5552,243,26,3562
"Castellano (077)",5468,3031,287,17,2136
"Es Sordomudo/a (079)",10,4,,,6
