"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia VILCAS HUAMAN (000)",6181,171,1665,2120,1466,759
"Agric., ganadería, caza y silvicultura (001)",3762,137,952,1137,907,629
"Explotación de minas y canteras (003)",34,,11,18,4,1
"Industrias manufactureras (004)",112,,37,50,19,6
"Suministro de electricidad, gas y agua (005)",10,,3,4,3,
"Construcción (006)",342,8,106,138,75,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",329,6,99,132,65,27
"Venta, mant.y rep. veh.autom.y motoc. (008)",10,,5,4,1,
"Comercio al por mayor (009)",11,,5,5,1,
"Comercio al por menor (010)",308,6,89,123,63,27
"Hoteles y restaurantes (011)",76,4,29,22,17,4
"Trans., almac. y comunicaciones (012)",82,2,33,33,13,1
"Intermediación financiera (013)",1,,,1,,
"Activid.inmobil., empres. y alquileres (014)",32,1,5,16,8,2
"Admin.pub. y defensa; p. segur.soc afil (015)",198,,43,102,46,7
"Enseñanza (016)",462,,88,226,147,1
"Servicios sociales y de salud (017)",66,,17,41,7,1
"Otras activ. serv.comun.soc y personales (018)",20,1,4,12,2,1
"Hogares privados con servicio doméstico (019)",32,3,17,5,5,2
"Actividad economica no especificada (021)",379,3,112,110,107,47
"Desocupado (022)",244,6,109,73,41,15
"Hombres (023)",4703,109,1252,1621,1122,599
"Agric., ganadería, caza y silvicultura (024)",3107,89,807,966,722,523
"Explotación de minas y canteras (026)",33,,10,18,4,1
"Industrias manufactureras (027)",99,,33,43,17,6
"Suministro de electricidad, gas y agua (028)",10,,3,4,3,
"Construcción (029)",322,8,98,130,73,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",123,4,47,46,17,9
"Venta, mant.y rep. veh.autom.y motoc. (031)",9,,5,3,1,
"Comercio al por mayor (032)",9,,4,4,1,
"Comercio al por menor (033)",105,4,38,39,15,9
"Hoteles y restaurantes (034)",11,,4,4,2,1
"Trans., almac. y comunicaciones (035)",73,2,29,30,11,1
"Activid.inmobil., empres. y alquileres (037)",25,1,3,14,5,2
"Admin.pub. y defensa; p. segur.soc afil (038)",164,,33,81,43,7
"Enseñanza (039)",297,,39,134,123,1
"Servicios sociales y de salud (040)",36,,7,24,4,1
"Otras activ. serv.comun.soc y personales (041)",14,,3,9,1,1
"Hogares privados con servicio doméstico (042)",5,,3,1,,1
"Actividad economica no especificada (044)",195,2,55,60,60,18
