"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia CARHUAZ",,,
"Viviendas particulares (001)",8860,8185,675
"Ocupantes presentes (002)",35724,32906,2818
"Casa independiente",,,
"Viviendas particulares (004)",8830,8158,672
"Ocupantes presentes (005)",35633,32825,2808
"Departamento en edificio",,,
"Viviendas particulares (007)",6,6,
"Ocupantes presentes (008)",20,20,
"Vivienda en quinta",,,
"Viviendas particulares (010)",8,7,1
"Ocupantes presentes (011)",16,12,4
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",11,11,
"Ocupantes presentes (014)",38,38,
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (019)",1,,1
"Ocupantes presentes (020)",4,,4
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",4,3,1
"Ocupantes presentes (023)",13,11,2
"Otro tipo",,,
,,,
URBANA,,,
"Viviendas particulares (028)",3524,3217,307
"Ocupantes presentes (029)",13729,12555,1174
"Casa independiente",,,
"Viviendas particulares (031)",3494,3190,304
"Ocupantes presentes (032)",13638,12474,1164
"Departamento en edificio",,,
"Viviendas particulares (034)",6,6,
"Ocupantes presentes (035)",20,20,
"Vivienda en quinta",,,
"Viviendas particulares (037)",8,7,1
"Ocupantes presentes (038)",16,12,4
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",11,11,
"Ocupantes presentes (041)",38,38,
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",1,,1
"Ocupantes presentes (047)",4,,4
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",4,3,1
"Ocupantes presentes (050)",13,11,2
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",5336,4968,368
"Ocupantes presentes (056)",21995,20351,1644
"Casa independiente",,,
"Viviendas particulares (058)",5336,4968,368
"Ocupantes presentes (059)",21995,20351,1644
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Otro tipo",,,
