"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHOTA (000)",45396,5232,46,24177,9724,817,2530,475,2395
"Empleado (001)",5483,87,5,325,800,340,1824,233,1869
"Obrero (002)",8393,886,7,4916,2077,126,204,62,115
"Trabajador independiente (003)",23157,3029,21,14155,4788,286,393,141,344
"Empleador o patrono (004)",585,41,1,327,145,9,22,11,29
"Trabajador familiar no remunerado (005)",7116,1044,11,4125,1750,49,82,21,34
"Trabajador del hogar (006)",662,145,1,329,164,7,5,7,4
"Hombres (008)",35719,3106,32,20258,8154,600,1656,326,1587
"Empleado (009)",3333,12,5,166,512,219,1090,146,1183
"Obrero (010)",7658,686,7,4545,1942,122,192,55,109
"Trabajador independiente (011)",19338,2010,11,12340,4112,215,302,97,251
"Empleador o patrono (012)",511,31,1,299,127,8,14,9,22
"Trabajador familiar no remunerado (013)",4843,362,8,2897,1447,36,56,17,20
"Trabajador del hogar (014)",36,5,,11,14,,2,2,2
"Mujeres (016)",9677,2126,14,3919,1570,217,874,149,808
"Empleado (017)",2150,75,,159,288,121,734,87,686
"Obrero (018)",735,200,,371,135,4,12,7,6
"Trabajador independiente (019)",3819,1019,10,1815,676,71,91,44,93
"Empleador o patrono (020)",74,10,,28,18,1,8,2,7
"Trabajador familiar no remunerado (021)",2273,682,3,1228,303,13,26,4,14
"Trabajador del hogar (022)",626,140,1,318,150,7,3,5,2
,,,,,,,,,
"URBANA (024)",11575,624,21,3260,3168,480,1744,342,1936
"Empleado (025)",4170,46,5,194,589,224,1382,185,1545
"Obrero (026)",1264,62,6,525,525,34,50,20,42
"Trabajador independiente (027)",4772,364,5,1946,1594,194,264,109,296
"Empleador o patrono (028)",196,5,1,80,58,5,15,8,24
"Trabajador familiar no remunerado (029)",800,80,3,350,280,16,30,14,27
"Trabajador del hogar (030)",373,67,1,165,122,7,3,6,2
"Hombres (032)",7479,210,15,2254,2256,309,1001,212,1222
"Empleado (033)",2409,6,5,101,367,130,751,109,940
"Obrero (034)",1113,42,6,459,482,32,40,15,37
"Trabajador independiente (035)",3380,145,1,1448,1178,135,189,71,213
"Empleador o patrono (036)",143,2,1,62,42,4,9,6,17
"Trabajador familiar no remunerado (037)",413,13,2,179,176,8,11,10,14
"Trabajador del hogar (038)",21,2,,5,11,,1,1,1
"Mujeres (040)",4096,414,6,1006,912,171,743,130,714
"Empleado (041)",1761,40,,93,222,94,631,76,605
"Obrero (042)",151,20,,66,43,2,10,5,5
"Trabajador independiente (043)",1392,219,4,498,416,59,75,38,83
"Empleador o patrono (044)",53,3,,18,16,1,6,2,7
"Trabajador familiar no remunerado (045)",387,67,1,171,104,8,19,4,13
"Trabajador del hogar (046)",352,65,1,160,111,7,2,5,1
,,,,,,,,,
"RURAL (048)",33821,4608,25,20917,6556,337,786,133,459
"Empleado (049)",1313,41,,131,211,116,442,48,324
"Obrero (050)",7129,824,1,4391,1552,92,154,42,73
"Trabajador independiente (051)",18385,2665,16,12209,3194,92,129,32,48
"Empleador o patrono (052)",389,36,,247,87,4,7,3,5
"Trabajador familiar no remunerado (053)",6316,964,8,3775,1470,33,52,7,7
"Trabajador del hogar (054)",289,78,,164,42,,2,1,2
"Hombres (056)",28240,2896,17,18004,5898,291,655,114,365
"Empleado (057)",924,6,,65,145,89,339,37,243
"Obrero (058)",6545,644,1,4086,1460,90,152,40,72
"Trabajador independiente (059)",15958,1865,10,10892,2934,80,113,26,38
"Empleador o patrono (060)",368,29,,237,85,4,5,3,5
"Trabajador familiar no remunerado (061)",4430,349,6,2718,1271,28,45,7,6
"Trabajador del hogar (062)",15,3,,6,3,,1,1,1
"Mujeres (064)",5581,1712,8,2913,658,46,131,19,94
"Empleado (065)",389,35,,66,66,27,103,11,81
"Obrero (066)",584,180,,305,92,2,2,2,1
"Trabajador independiente (067)",2427,800,6,1317,260,12,16,6,10
"Empleador o patrono (068)",21,7,,10,2,,2,,
"Trabajador familiar no remunerado (069)",1886,615,2,1057,199,5,7,,1
"Trabajador del hogar (070)",274,75,,158,39,,1,,1
