"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CAJAMARCA (000)",296395,46647,7488,115515,72959,7808,13645,12083,20250
"Quechua (001)",3161,1303,28,1254,379,35,64,24,74
"Aymara (002)",130,18,5,33,37,6,13,1,17
"Ashaninca (003)",41,5,2,18,6,3,3,,4
"Otra lengua nativa (004)",172,16,1,39,75,3,12,8,18
"Castellano (005)",292482,45123,7442,114110,72410,7755,13535,12038,20069
"Idioma extranjero (006)",129,5,4,4,21,5,16,9,65
"Es sordomudo/a (007)",280,177,6,57,31,1,2,3,3
"Hombres (009)",145533,14552,3725,56892,41853,4166,6706,6661,10978
"Quechua (010)",1492,357,10,723,260,25,47,17,53
"Aymara (011)",72,4,2,16,24,5,11,1,9
"Ashaninca (012)",23,2,2,10,3,2,2,,2
"Otra lengua nativa (013)",95,9,1,21,44,2,3,6,9
"Castellano (014)",143651,14085,3707,56093,41502,4130,6639,6630,10865
"Idioma extranjero (015)",61,3,2,1,5,2,4,6,38
"Es sordomudo/a (016)",139,92,1,28,15,,,1,2
"Mujeres (018)",150862,32095,3763,58623,31106,3642,6939,5422,9272
"Quechua (019)",1669,946,18,531,119,10,17,7,21
"Aymara (020)",58,14,3,17,13,1,2,,8
"Ashaninca (021)",18,3,,8,3,1,1,,2
"Otra lengua nativa (022)",77,7,,18,31,1,9,2,9
"Castellano (023)",148831,31038,3735,58017,30908,3625,6896,5408,9204
"Idioma extranjero (024)",68,2,2,3,16,3,12,3,27
"Es sordomudo/a (025)",141,85,5,29,16,1,2,2,1
,,,,,,,,,
"URBANA (027)",164379,15122,4526,45392,50132,6611,11986,11300,19310
"Quechua (028)",898,172,12,324,232,26,47,19,66
"Aymara (029)",95,7,4,25,33,1,9,1,15
"Ashaninca (030)",30,3,1,11,6,3,2,,4
"Otra lengua nativa (031)",155,11,,32,72,3,12,8,17
"Castellano (032)",162958,14870,4500,44967,49748,6572,11898,11260,19143
"Idioma extranjero (033)",126,5,4,4,21,5,16,9,62
"Es sordomudo/a (034)",117,54,5,29,20,1,2,3,3
"Hombres (036)",79711,5159,2268,20548,26474,3351,5488,6118,10305
"Quechua (037)",453,33,4,165,146,16,30,14,45
"Aymara (038)",52,2,1,11,21,1,7,1,8
"Ashaninca (039)",17,2,1,6,3,2,1,,2
"Otra lengua nativa (040)",84,6,,18,41,2,3,6,8
"Castellano (041)",78986,5084,2259,20333,26246,3328,5443,6090,10203
"Idioma extranjero (042)",60,3,2,1,5,2,4,6,37
"Es sordomudo/a (043)",59,29,1,14,12,,,1,2
"Mujeres (045)",84668,9963,2258,24844,23658,3260,6498,5182,9005
"Quechua (046)",445,139,8,159,86,10,17,5,21
"Aymara (047)",43,5,3,14,12,,2,,7
"Ashaninca (048)",13,1,,5,3,1,1,,2
"Otra lengua nativa (049)",71,5,,14,31,1,9,2,9
"Castellano (050)",83972,9786,2241,24634,23502,3244,6455,5170,8940
"Idioma extranjero (051)",66,2,2,3,16,3,12,3,25
"Es sordomudo/a (052)",58,25,4,15,8,1,2,2,1
,,,,,,,,,
"RURAL (054)",132016,31525,2962,70123,22827,1197,1659,783,940
"Quechua (055)",2263,1131,16,930,147,9,17,5,8
"Aymara (056)",35,11,1,8,4,5,4,,2
"Ashaninca (057)",11,2,1,7,,,1,,
"Otra lengua nativa (058)",17,5,1,7,3,,,,1
"Castellano (059)",129524,30253,2942,69143,22662,1183,1637,778,926
"Idioma extranjero (060)",3,,,,,,,,3
"Es sordomudo/a (061)",163,123,1,28,11,,,,
"Hombres (063)",65822,9393,1457,36344,15379,815,1218,543,673
"Quechua (064)",1039,324,6,558,114,9,17,3,8
"Aymara (065)",20,2,1,5,3,4,4,,1
"Ashaninca (066)",6,,1,4,,,1,,
"Otra lengua nativa (067)",11,3,1,3,3,,,,1
"Castellano (068)",64665,9001,1448,35760,15256,802,1196,540,662
"Idioma extranjero (069)",1,,,,,,,,1
"Es sordomudo/a (070)",80,63,,14,3,,,,
"Mujeres (072)",66194,22132,1505,33779,7448,382,441,240,267
"Quechua (073)",1224,807,10,372,33,,,2,
"Aymara (074)",15,9,,3,1,1,,,1
"Ashaninca (075)",5,2,,3,,,,,
"Otra lengua nativa (076)",6,2,,4,,,,,
"Castellano (077)",64859,21252,1494,33383,7406,381,441,238,264
"Idioma extranjero (078)",2,,,,,,,,2
"Es sordomudo/a (079)",83,60,1,14,8,,,,
