"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia DOS DE MAYO",,,,,,,,
"Hogares (001)",10707,7215,1736,721,35,135,252,3230
"Ocupantes presentes (002)",46797,33498,7524,3056,130,537,1113,12275
"Casa independiente",,,,,,,,
"Hogares (004)",9273,6410,1678,700,35,132,243,2620
"Ocupantes presentes (005)",40611,29758,7311,2981,130,528,1085,9885
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (010)",30,21,14,4,,1,4,5
"Ocupantes presentes (011)",87,66,46,10,,1,9,13
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",45,26,31,9,,1,4,7
"Ocupantes presentes (014)",131,77,95,26,,1,16,20
"Choza o cabaña",,,,,,,,
"Hogares (016)",1336,742,9,7,,1,,591
"Ocupantes presentes (017)",5878,3532,50,36,,7,,2332
"Vivienda improvisada",,,,,,,,
"Hogares (019)",5,4,2,,,,,1
"Ocupantes presentes (020)",21,19,12,,,,,2
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",16,11,1,,,,,5
"Ocupantes presentes (023)",65,43,7,,,,,22
"Otro tipo",,,,,,,,
"Hogares (025)",2,1,1,1,,,1,1
"Ocupantes presentes (026)",4,3,3,3,,,3,1
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",4027,2994,1548,613,28,121,246,827
"Ocupantes presentes (029)",16222,12753,6590,2527,100,472,1089,2689
"Casa independiente",,,,,,,,
"Hogares (031)",3939,2937,1499,599,28,119,237,812
"Ocupantes presentes (032)",15942,12566,6427,2488,100,470,1061,2638
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (037)",30,21,14,4,,1,4,5
"Ocupantes presentes (038)",87,66,46,10,,1,9,13
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",45,26,31,9,,1,4,7
"Ocupantes presentes (041)",131,77,95,26,,1,16,20
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",5,4,2,,,,,1
"Ocupantes presentes (047)",21,19,12,,,,,2
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",7,5,1,,,,,2
"Ocupantes presentes (050)",38,22,7,,,,,16
"Otro tipo",,,,,,,,
"Hogares (052)",1,1,1,1,,,1,
"Ocupantes presentes (053)",3,3,3,3,,,3,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",6680,4221,188,108,7,14,6,2403
"Ocupantes presentes (056)",30575,20745,934,529,30,65,24,9586
"Casa independiente",,,,,,,,
"Hogares (058)",5334,3473,179,101,7,13,6,1808
"Ocupantes presentes (059)",24669,17192,884,493,30,58,24,7247
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",1336,742,9,7,,1,,591
"Ocupantes presentes (071)",5878,3532,50,36,,7,,2332
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",9,6,,,,,,3
"Ocupantes presentes (077)",27,21,,,,,,6
"Otro tipo",,,,,,,,
"Hogares (079)",1,,,,,,,1
"Ocupantes presentes (080)",1,,,,,,,1
