"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia VILCAS HUAMAN",,,,,,,,,
"Hogares (001)",7092,249,117,73,57,33,16,33,6514
"Ocupantes presentes (002)",23154,540,272,227,203,146,64,174,21528
"Casa independiente",,,,,,,,,
"Hogares (004)",6902,244,113,66,57,31,16,33,6342
"Ocupantes presentes (005)",22590,532,257,206,203,140,64,174,21014
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",28,2,,1,,1,,,24
"Ocupantes presentes (011)",100,2,,3,,5,,,90
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",10,1,,2,,,,,7
"Ocupantes presentes (014)",27,3,,5,,,,,19
"Choza o cabaña",,,,,,,,,
"Hogares (016)",147,2,4,4,,,,,137
"Ocupantes presentes (017)",432,3,15,13,,,,,401
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",3,,,,,,,,3
"Ocupantes presentes (020)",3,,,,,,,,3
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",1,,,,,1,,,
"Ocupantes presentes (023)",1,,,,,1,,,
"Otro tipo",,,,,,,,,
"Hogares (025)",1,,,,,,,,1
"Ocupantes presentes (026)",1,,,,,,,,1
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",2221,119,65,37,33,24,11,21,1911
"Ocupantes presentes (029)",7056,225,145,106,115,109,49,115,6192
"Casa independiente",,,,,,,,,
"Hogares (031)",2179,116,65,34,33,22,11,21,1877
"Ocupantes presentes (032)",6925,220,145,98,115,103,49,115,6080
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",28,2,,1,,1,,,24
"Ocupantes presentes (038)",100,2,,3,,5,,,90
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",10,1,,2,,,,,7
"Ocupantes presentes (041)",27,3,,5,,,,,19
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",3,,,,,,,,3
"Ocupantes presentes (047)",3,,,,,,,,3
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",1,,,,,1,,,
"Ocupantes presentes (050)",1,,,,,1,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",4871,130,52,36,24,9,5,12,4603
"Ocupantes presentes (056)",16098,315,127,121,88,37,15,59,15336
"Casa independiente",,,,,,,,,
"Hogares (058)",4723,128,48,32,24,9,5,12,4465
"Ocupantes presentes (059)",15665,312,112,108,88,37,15,59,14934
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",147,2,4,4,,,,,137
"Ocupantes presentes (071)",432,3,15,13,,,,,401
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",1,,,,,,,,1
