"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia ESPINAR (000)",22317,21272,6483,2441,2430,2035,3194,2161,2528,1045
"Católica (001)",15781,15053,4533,1760,1781,1483,2264,1507,1725,728
"Cristiana/Evangélica (002)",2420,2307,648,247,243,212,360,278,319,113
"Otra (003)",3317,3164,993,351,328,271,473,331,417,153
"Ninguna (004)",799,748,309,83,78,69,97,45,67,51
,,,,,,,,,,
"URBANA (006)",9944,9436,3119,1358,1387,1008,1304,634,626,508
"Católica (007)",7086,6729,2169,975,1034,751,933,429,438,357
"Cristiana/Evangélica (008)",877,841,251,125,119,86,122,72,66,36
"Otra (009)",1620,1532,556,211,189,134,211,119,112,88
"Ninguna (010)",361,334,143,47,45,37,38,14,10,27
,,,,,,,,,,
"RURAL (012)",12373,11836,3364,1083,1043,1027,1890,1527,1902,537
"Católica (013)",8695,8324,2364,785,747,732,1331,1078,1287,371
"Cristiana/Evangélica (014)",1543,1466,397,122,124,126,238,206,253,77
"Otra (015)",1697,1632,437,140,139,137,262,212,305,65
"Ninguna (016)",438,414,166,36,33,32,59,31,57,24
