"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia COTABAMBAS",,,,,,,
"Viviendas particulares (001)",11224,503,468,260,6097,220,3676
"Ocupantes presentes (002)",45009,1995,1785,1118,27838,855,11418
"Casa independiente",,,,,,,
"Viviendas particulares (004)",9142,488,432,258,4610,207,3147
"Ocupantes presentes (005)",36197,1933,1695,1100,20769,809,9891
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",5,4,1,,,,
"Ocupantes presentes (008)",22,21,1,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",5,1,,,,,4
"Ocupantes presentes (011)",15,1,,,,,14
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",57,7,35,,,,15
"Ocupantes presentes (014)",170,34,89,,,,47
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",2000,2,,2,1482,9,505
"Ocupantes presentes (017)",8579,5,,18,7060,38,1458
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",10,1,,,5,1,3
"Ocupantes presentes (023)",17,1,,,9,1,6
"Otro tipo",,,,,,,
"Viviendas particulares (025)",5,,,,,3,2
"Ocupantes presentes (026)",9,,,,,7,2
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",2967,495,456,115,720,134,1047
"Ocupantes presentes (029)",11590,1974,1744,448,3252,527,3645
"Casa independiente",,,,,,,
"Viviendas particulares (031)",2891,482,420,115,720,130,1024
"Ocupantes presentes (032)",11367,1917,1654,448,3252,519,3577
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",5,4,1,,,,
"Ocupantes presentes (035)",22,21,1,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",5,1,,,,,4
"Ocupantes presentes (038)",15,1,,,,,14
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",57,7,35,,,,15
"Ocupantes presentes (041)",170,34,89,,,,47
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",5,1,,,,1,3
"Ocupantes presentes (050)",8,1,,,,1,6
"Otro tipo",,,,,,,
"Viviendas particulares (052)",4,,,,,3,1
"Ocupantes presentes (053)",8,,,,,7,1
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",8257,8,12,145,5377,86,2629
"Ocupantes presentes (056)",33419,21,41,670,24586,328,7773
"Casa independiente",,,,,,,
"Viviendas particulares (058)",6251,6,12,143,3890,77,2123
"Ocupantes presentes (059)",24830,16,41,652,17517,290,6314
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",2000,2,,2,1482,9,505
"Ocupantes presentes (071)",8579,5,,18,7060,38,1458
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",5,,,,5,,
"Ocupantes presentes (077)",9,,,,9,,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,,,,1
"Ocupantes presentes (080)",1,,,,,,1
