"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LAMAS (000)",78826,1762,26251,21261,14988,10575,3989
"Jefe o Jefa (001)",18456,,33,3240,7076,5889,2218
"Esposa(o) / compañera(o) (002)",13914,,37,4168,5358,3523,828
"Hijo(a) / hijastro(a) (003)",34095,1198,21312,9862,1435,283,5
"Yerno / nuera (004)",1394,,24,1093,243,32,2
"Nieto(a) (005)",4035,409,3052,544,29,1,
"Padres / suegros (006)",1022,,,1,21,320,680
"Otro(a) pariente (007)",4638,146,1620,1654,587,413,218
"Trabajador(a) del hogar (008)",126,,12,86,16,8,4
"Pensionistas (009)",69,,2,48,13,5,1
"Otro(a) no pariente (010)",1077,9,159,565,210,101,33
"Hombres (011)",41293,858,13412,11385,8047,5639,1952
"Jefe o Jefa (012)",15631,,19,2840,6245,4928,1599
"Esposa(o) / compañera(o) (013)",460,,7,134,163,118,38
"Hijo(a) / hijastro(a) (014)",18835,601,10910,6218,930,173,3
"Yerno / nuera (015)",459,,7,289,138,23,2
"Nieto(a) (016)",2130,182,1576,352,19,1,
"Padres / suegros (017)",310,,,1,6,93,210
"Otro(a) pariente (018)",2636,70,814,1083,373,214,82
"Trabajador(a) del hogar (019)",18,,,11,4,3,
"Pensionistas (020)",44,,1,27,10,5,1
"Otro(a) no pariente (021)",770,5,78,430,159,81,17
"Mujeres (022)",37533,904,12839,9876,6941,4936,2037
"Jefe o Jefa (023)",2825,,14,400,831,961,619
"Esposa(o) / compañera(o) (024)",13454,,30,4034,5195,3405,790
"Hijo(a) / hijastro(a) (025)",15260,597,10402,3644,505,110,2
"Yerno / nuera (026)",935,,17,804,105,9,
"Nieto(a) (027)",1905,227,1476,192,10,,
"Padres / suegros (028)",712,,,,15,227,470
"Otro(a) pariente (029)",2002,76,806,571,214,199,136
"Trabajador(a) del hogar (030)",108,,12,75,12,5,4
"Pensionistas (031)",25,,1,21,3,,
"Otro(a) no pariente (032)",307,4,81,135,51,20,16
,,,,,,,
"URBANA (033)",37573,705,11246,9788,7612,5750,2472
"Jefe o Jefa (034)",9035,,25,1059,3403,3176,1372
"Esposa(o) / compañera(o) (035)",6495,,13,1419,2658,1901,504
"Hijo(a) / hijastro(a) (036)",15360,425,8599,5225,907,200,4
"Yerno / nuera (037)",765,,14,564,160,25,2
"Nieto(a) (038)",2356,217,1749,364,25,1,
"Padres / suegros (039)",600,,,1,13,159,427
"Otro(a) pariente (040)",2269,59,741,795,310,226,138
"Trabajador(a) del hogar (041)",85,,9,56,11,5,4
"Pensionistas (042)",53,,2,36,11,3,1
"Otro(a) no pariente (043)",555,4,94,269,114,54,20
"Hombres (044)",19161,338,5671,5092,3898,2993,1169
"Jefe o Jefa (045)",7299,,13,861,2896,2586,943
"Esposa(o) / compañera(o) (046)",242,,4,76,73,61,28
"Hijo(a) / hijastro(a) (047)",8317,204,4357,3085,546,123,2
"Yerno / nuera (048)",268,,4,156,86,20,2
"Nieto(a) (049)",1223,95,891,221,15,1,
"Padres / suegros (050)",182,,,1,5,43,133
"Otro(a) pariente (051)",1240,36,358,490,188,119,49
"Trabajador(a) del hogar (052)",7,,,4,3,,
"Pensionistas (053)",34,,1,21,8,3,1
"Otro(a) no pariente (054)",349,3,43,177,78,37,11
"Mujeres (055)",18412,367,5575,4696,3714,2757,1303
"Jefe o Jefa (056)",1736,,12,198,507,590,429
"Esposa(o) / compañera(o) (057)",6253,,9,1343,2585,1840,476
"Hijo(a) / hijastro(a) (058)",7043,221,4242,2140,361,77,2
"Yerno / nuera (059)",497,,10,408,74,5,
"Nieto(a) (060)",1133,122,858,143,10,,
"Padres / suegros (061)",418,,,,8,116,294
"Otro(a) pariente (062)",1029,23,383,305,122,107,89
"Trabajador(a) del hogar (063)",78,,9,52,8,5,4
"Pensionistas (064)",19,,1,15,3,,
"Otro(a) no pariente (065)",206,1,51,92,36,17,9
,,,,,,,
"RURAL (066)",41253,1057,15005,11473,7376,4825,1517
"Jefe o Jefa (067)",9421,,8,2181,3673,2713,846
"Esposa(o) / compañera(o) (068)",7419,,24,2749,2700,1622,324
"Hijo(a) / hijastro(a) (069)",18735,773,12713,4637,528,83,1
"Yerno / nuera (070)",629,,10,529,83,7,
"Nieto(a) (071)",1679,192,1303,180,4,,
"Padres / suegros (072)",422,,,,8,161,253
"Otro(a) pariente (073)",2369,87,879,859,277,187,80
"Trabajador(a) del hogar (074)",41,,3,30,5,3,
"Pensionistas (075)",16,,,12,2,2,
"Otro(a) no pariente (076)",522,5,65,296,96,47,13
"Hombres (077)",22132,520,7741,6293,4149,2646,783
"Jefe o Jefa (078)",8332,,6,1979,3349,2342,656
"Esposa(o) / compañera(o) (079)",218,,3,58,90,57,10
"Hijo(a) / hijastro(a) (080)",10518,397,6553,3133,384,50,1
"Yerno / nuera (081)",191,,3,133,52,3,
"Nieto(a) (082)",907,87,685,131,4,,
"Padres / suegros (083)",128,,,,1,50,77
"Otro(a) pariente (084)",1396,34,456,593,185,95,33
"Trabajador(a) del hogar (085)",11,,,7,1,3,
"Pensionistas (086)",10,,,6,2,2,
"Otro(a) no pariente (087)",421,2,35,253,81,44,6
"Mujeres (088)",19121,537,7264,5180,3227,2179,734
"Jefe o Jefa (089)",1089,,2,202,324,371,190
"Esposa(o) / compañera(o) (090)",7201,,21,2691,2610,1565,314
"Hijo(a) / hijastro(a) (091)",8217,376,6160,1504,144,33,
"Yerno / nuera (092)",438,,7,396,31,4,
"Nieto(a) (093)",772,105,618,49,,,
"Padres / suegros (094)",294,,,,7,111,176
"Otro(a) pariente (095)",973,53,423,266,92,92,47
"Trabajador(a) del hogar (096)",30,,3,23,4,,
