"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TARATA (000)",4048,3247,246,216,339
"Empleado (001)",538,116,62,84,276
"Obrero (002)",585,313,86,126,60
"Trabajador independiente (003)",1982,1921,61,,
"Empleador o patrono (004)",40,29,4,4,3
"Trabajador familiar no remunerado (005)",877,842,33,2,
"Trabajador del hogar (006)",26,26,,,
"De 06 a 14 años (008)",87,79,8,,
"Empleado (009)",1,1,,,
"Obrero (010)",10,10,,,
"Trabajador independiente (011)",1,1,,,
"Trabajador familiar no remunerado (013)",73,65,8,,
"Trabajador del hogar (014)",2,2,,,
"De 15 a 29 años (016)",1011,725,79,82,125
"Empleado (017)",179,51,19,12,97
"Obrero (018)",239,108,38,66,27
"Trabajador independiente (019)",300,287,13,,
"Empleador o patrono (020)",11,7,,3,1
"Trabajador familiar no remunerado (021)",271,261,9,1,
"Trabajador del hogar (022)",11,11,,,
"De 30 a 44 años (024)",1224,895,92,88,149
"Empleado (025)",244,46,30,44,124
"Obrero (026)",206,113,25,44,24
"Trabajador independiente (027)",548,522,26,,
"Empleador o patrono (028)",12,9,2,,1
"Trabajador familiar no remunerado (029)",208,199,9,,
"Trabajador del hogar (030)",6,6,,,
"De 45 a 64 años (032)",1153,999,50,43,61
"Empleado (033)",107,16,11,28,52
"Obrero (034)",106,63,21,14,8
"Trabajador independiente (035)",720,708,12,,
"Empleador o patrono (036)",9,7,1,,1
"Trabajador familiar no remunerado (037)",206,200,5,1,
"Trabajador del hogar (038)",5,5,,,
"De 65 y más años (040)",573,549,17,3,4
"Empleado (041)",7,2,2,,3
"Obrero (042)",24,19,2,2,1
"Trabajador independiente (043)",413,403,10,,
"Empleador o patrono (044)",8,6,1,1,
"Trabajador familiar no remunerado (045)",119,117,2,,
"Trabajador del hogar (046)",2,2,,,
,,,,,
"URBANA (048)",3041,2380,200,201,260
"Empleado (049)",446,92,58,81,215
"Obrero (050)",482,259,66,115,42
"Trabajador independiente (051)",1459,1410,49,,
"Empleador o patrono (052)",39,29,3,4,3
"Trabajador familiar no remunerado (053)",591,566,24,1,
"Trabajador del hogar (054)",24,24,,,
"De 06 a 14 años (056)",70,64,6,,
"Empleado (057)",1,1,,,
"Obrero (058)",9,9,,,
