"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CORONEL PORTILLO (000)",85500,311,1389,3291,7883,16648,32702,23276
"De 12 a 14 años (001)",303,,,,,,46,257
"De 15 a 19 años (002)",4496,,,,,,2508,1988
"De 20 a 24 años (003)",11417,,,,,41,6661,4715
"De 25 a 29 años (004)",12378,,,,,631,7925,3822
"De 30 a 34 años (005)",11327,,,,6,1748,6892,2681
"De 35 a 39 años (006)",10351,,,,135,3149,4969,2098
"De 40 a 44 años (007)",9166,,,3,661,4114,2657,1731
"De 45 a 49 años (008)",7247,,,27,1312,3629,893,1386
"De 50 y más años (009)",18815,311,1389,3261,5769,3336,151,4598
"PEA (010)",34884,21,225,958,3479,8524,12024,9653
"De 12 a 14 años (011)",33,,,,,,4,29
"De 15 a 19 años (012)",949,,,,,,473,476
"De 20 a 24 años (013)",3695,,,,,22,1857,1816
"De 25 a 29 años (014)",4751,,,,,289,2718,1744
"De 30 a 34 años (015)",5132,,,,3,862,2913,1354
"De 35 a 39 años (016)",5221,,,,87,1722,2330,1082
"De 40 a 44 años (017)",4824,,,1,378,2251,1281,913
"De 45 a 49 años (018)",3666,,,22,704,1819,393,728
"De 50 y más años (019)",6613,21,225,935,2307,1559,55,1511
"Ocupada (020)",33778,21,222,945,3426,8337,11555,9272
"De 12 a 14 años (021)",31,,,,,,4,27
"De 15 a 19 años (022)",876,,,,,,441,435
"De 20 a 24 años (023)",3474,,,,,21,1747,1706
"De 25 a 29 años (024)",4524,,,,,275,2590,1659
"De 30 a 34 años (025)",4956,,,,3,836,2819,1298
"De 35 a 39 años (026)",5076,,,,84,1672,2272,1048
"De 40 a 44 años (027)",4725,,,1,372,2211,1250,891
"De 45 a 49 años (028)",3595,,,21,695,1781,378,720
"De 50 y más años (029)",6521,21,222,923,2272,1541,54,1488
"Desocupada (030)",1106,,3,13,53,187,469,381
"De 12 a 14 años (031)",2,,,,,,,2
"De 15 a 19 años (032)",73,,,,,,32,41
"De 20 a 24 años (033)",221,,,,,1,110,110
"De 25 a 29 años (034)",227,,,,,14,128,85
"De 30 a 34 años (035)",176,,,,,26,94,56
"De 35 a 39 años (036)",145,,,,3,50,58,34
"De 40 a 44 años (037)",99,,,,6,40,31,22
"De 45 a 49 años (038)",71,,,1,9,38,15,8
"De 50 y más años (039)",92,,3,12,35,18,1,23
"No PEA (040)",50616,290,1164,2333,4404,8124,20678,13623
"De 12 a 14 años (041)",270,,,,,,42,228
"De 15 a 19 años (042)",3547,,,,,,2035,1512
"De 20 a 24 años (043)",7722,,,,,19,4804,2899
