"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUANCANE (000)",66182,12018,3408,884,49899
"Quechua (001)",20400,2422,506,221,17256
"Aymara (002)",35249,6784,1513,398,26562
"Asháninka (003)",32,9,,,23
"Otra lengua nativa (004)",11,3,1,1,7
"Castellano (005)",10392,2783,1387,260,5975
"Idioma Extranjero (006)",5,,,4,1
"Es Sordomudo/a (007)",93,17,1,,75
"Hombres (009)",32021,5941,1817,565,23716
"Quechua (010)",9794,1208,259,139,8192
"Aymara (011)",16721,3293,829,264,12340
"Asháninka (012)",16,5,,,11
"Otra lengua nativa (013)",7,1,1,1,5
"Castellano (014)",5427,1425,727,159,3124
"Idioma Extranjero (015)",2,,,2,
"Es Sordomudo/a (016)",54,9,1,,44
"Mujeres (018)",34161,6077,1591,319,26183
"Quechua (019)",10606,1214,247,82,9064
"Aymara (020)",18528,3491,684,134,14222
"Asháninka (021)",16,4,,,12
"Otra lengua nativa (022)",4,2,,,2
"Castellano (023)",4965,1358,660,101,2851
"Idioma Extranjero (024)",3,,,2,1
"Es Sordomudo/a (025)",39,8,,,31
,,,,,
"URBANA (027)",13138,1819,1957,440,8935
"Quechua (028)",2402,268,174,61,1901
"Aymara (029)",4821,458,626,158,3584
"Asháninka (030)",6,,,,6
"Otra lengua nativa (031)",8,2,1,,5
"Castellano (032)",5890,1088,1156,217,3435
"Idioma Extranjero (033)",5,,,4,1
"Es Sordomudo/a (034)",6,3,,,3
"Hombres (036)",6590,896,1024,315,4366
"Quechua (037)",1166,128,85,50,905
"Aymara (038)",2390,238,341,127,1688
"Asháninka (039)",2,,,,2
"Otra lengua nativa (040)",5,,1,,4
"Castellano (041)",3022,530,597,136,1764
"Idioma Extranjero (042)",2,,,2,
"Es Sordomudo/a (043)",3,,,,3
"Mujeres (045)",6548,923,933,125,4569
"Quechua (046)",1236,140,89,11,996
"Aymara (047)",2431,220,285,31,1896
"Asháninka (048)",4,,,,4
"Otra lengua nativa (049)",3,2,,,1
"Castellano (050)",2868,558,559,81,1671
"Idioma Extranjero (051)",3,,,2,1
"Es Sordomudo/a (052)",3,3,,,
,,,,,
"RURAL (054)",53044,10199,1451,444,40964
"Quechua (055)",17998,2154,332,160,15355
"Aymara (056)",30428,6326,887,240,22978
"Asháninka (057)",26,9,,,17
"Otra lengua nativa (058)",3,1,,1,2
"Castellano (059)",4502,1695,231,43,2540
"Es Sordomudo/a (061)",87,14,1,,72
"Hombres (063)",25431,5045,793,250,19350
"Quechua (064)",8628,1080,174,89,7287
"Aymara (065)",14331,3055,488,137,10652
"Asháninka (066)",14,5,,,9
"Otra lengua nativa (067)",2,1,,1,1
"Castellano (068)",2405,895,130,23,1360
"Es Sordomudo/a (070)",51,9,1,,41
"Mujeres (072)",27613,5154,658,194,21614
"Quechua (073)",9370,1074,158,71,8068
"Aymara (074)",16097,3271,399,103,12326
"Asháninka (075)",12,4,,,8
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",2097,800,101,20,1180
"Es Sordomudo/a (079)",36,5,,,31
