"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia MELGAR (000)",28102,27101,8777,3319,3247,2643,4027,2665,2423,1001
"Católica (001)",24961,24044,7809,3001,2892,2334,3574,2339,2095,917
"Cristiana/Evangélica (002)",2285,2231,666,210,258,234,346,257,260,54
"Otra (003)",621,602,186,73,71,61,88,63,60,19
"Ninguna (004)",235,224,116,35,26,14,19,6,8,11
,,,,,,,,,,
"URBANA (006)",13725,13207,4532,1789,1826,1343,1843,1023,851,518
"Católica (007)",12337,11864,4068,1639,1665,1204,1637,903,748,473
"Cristiana/Evangélica (008)",911,882,296,80,105,96,145,85,75,29
"Otra (009)",344,335,107,44,42,36,52,31,23,9
"Ninguna (010)",133,126,61,26,14,7,9,4,5,7
,,,,,,,,,,
"RURAL (012)",14377,13894,4245,1530,1421,1300,2184,1642,1572,483
"Católica (013)",12624,12180,3741,1362,1227,1130,1937,1436,1347,444
"Cristiana/Evangélica (014)",1374,1349,370,130,153,138,201,172,185,25
"Otra (015)",277,267,79,29,29,25,36,32,37,10
"Ninguna (016)",102,98,55,9,12,7,10,2,3,4
