"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TALARA (000)",35679,33295,136,7703,8229,6455,6531,2622,1074,545,2384,103732
"De 12 a 14 años (001)",47,17,2,11,4,,,,,,30,19
"De 15 a 19 años (002)",934,790,13,683,83,8,3,,,,144,885
"De 20 a 24 años (003)",3810,3154,15,2152,782,169,32,4,,,656,4378
"De 25 a 29 años (004)",4663,4132,12,1704,1600,603,202,9,2,,531,7634
"De 30 a 34 años (005)",4346,4085,14,940,1466,1030,563,64,7,1,261,9807
"De 35 a 39 años (006)",4073,3922,11,567,1201,1114,846,156,23,4,151,11180
"De 40 a 44 años (007)",4020,3866,10,424,1020,1058,1044,260,41,9,154,12233
"De 45 a 49 años (008)",3626,3497,15,360,742,884,994,385,86,31,129,12318
"De 50 y más años (009)",10160,9832,44,862,1331,1589,2847,1744,915,500,328,45278
"PEA (010)",9533,8501,40,2351,2211,1664,1499,499,175,62,1032,23605
"De 12 a 14 años (011)",2,2,,2,,,,,,,,2
"De 15 a 19 años (012)",111,93,2,82,8,1,,,,,18,101
"De 20 a 24 años (013)",869,598,1,437,127,26,7,,,,271,798
"De 25 a 29 años (014)",1337,1031,5,558,315,116,33,3,1,,306,1699
"De 30 a 34 años (015)",1370,1226,8,409,410,247,136,16,,,144,2640
"De 35 a 39 años (016)",1377,1295,6,249,406,336,245,46,7,,82,3475
"De 40 a 44 años (017)",1369,1292,6,189,344,331,332,78,10,2,77,3900
"De 45 a 49 años (018)",1239,1187,7,181,272,292,285,111,27,12,52,3898
"De 50 y más años (019)",1859,1777,5,244,329,315,461,245,130,48,82,7092
"Ocupada (020)",8935,8026,40,2185,2100,1564,1432,477,167,61,909,22411
