"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LUCANAS (000)",17527,348,6862,5315,1663,589,271,107,16,,2356
"Conviviente (001)",5132,79,2131,1644,458,140,61,18,2,,599
"Separado(a) (002)",839,28,319,272,94,32,14,6,1,,73
"Casado(a) (003)",7552,133,3068,2416,772,283,119,50,10,,701
"Viudo(a) (004)",2218,91,959,567,172,69,42,24,2,,292
"Divorciado(a) (005)",101,,32,33,11,7,1,1,1,,15
"Soltero(a) (006)",1685,17,353,383,156,58,34,8,,,676
,,,,,,,,,,,
"URBANA (008)",10662,216,3922,3282,1088,410,198,75,14,,1457
"Conviviente (009)",2651,39,1020,901,270,77,33,9,2,,300
"Separado(a) (010)",536,15,194,180,65,20,10,4,1,,47
"Casado(a) (011)",4863,84,1893,1574,532,217,91,41,8,,423
"Viudo(a) (012)",1379,71,581,342,103,46,35,16,2,,183
"Divorciado(a) (013)",75,,21,24,10,6,1,1,1,,11
"Soltero(a) (014)",1158,7,213,261,108,44,28,4,,,493
,,,,,,,,,,,
"RURAL (016)",6865,132,2940,2033,575,179,73,32,2,,899
"Conviviente (017)",2481,40,1111,743,188,63,28,9,,,299
"Separado(a) (018)",303,13,125,92,29,12,4,2,,,26
"Casado(a) (019)",2689,49,1175,842,240,66,28,9,2,,278
"Viudo(a) (020)",839,20,378,225,69,23,7,8,,,109
"Divorciado(a) (021)",26,,11,9,1,1,,,,,4
"Soltero(a) (022)",527,10,140,122,48,14,6,4,,,183
