"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",17876,576,7212,5584,3682,822
"Empleado (001)",1948,7,648,870,400,23
"Obrero (002)",1962,76,1076,525,259,26
"Trabajador independiente (003)",9169,20,2961,3154,2379,655
"Empleador o patrono (004)",157,,63,58,32,4
"Trabajador familiar no remunerado (005)",3342,401,1698,685,475,83
"Trabajador del hogar (006)",257,16,160,49,26,6
"Desocupado (008)",1041,56,606,243,111,25
"Hombres (009)",13395,378,5443,4154,2773,647
"Empleado (010)",1279,4,405,561,291,18
"Obrero (011)",1737,53,977,464,223,20
"Trabajador independiente (012)",7650,9,2357,2672,2054,558
"Empleador o patrono (013)",138,,53,51,31,3
"Trabajador familiar no remunerado (014)",1705,274,1147,193,67,24
"Trabajador del hogar (015)",54,3,30,13,6,2
"Desocupado (017)",832,35,474,200,101,22
"Mujeres (018)",4481,198,1769,1430,909,175
"Empleado (019)",669,3,243,309,109,5
"Obrero (020)",225,23,99,61,36,6
"Trabajador independiente (021)",1519,11,604,482,325,97
"Empleador o patrono (022)",19,,10,7,1,1
"Trabajador familiar no remunerado (023)",1637,127,551,492,408,59
"Trabajador del hogar (024)",203,13,130,36,20,4
"Desocupado (026)",209,21,132,43,10,3
,,,,,,
"URBANA (027)",5370,120,2050,1899,1101,200
"Empleado (028)",1308,5,415,583,285,20
"Obrero (029)",818,16,410,254,123,15
"Trabajador independiente (030)",2093,12,646,779,525,131
"Empleador o patrono (031)",66,,23,27,14,2
"Trabajador familiar no remunerado (032)",402,56,149,107,73,17
"Trabajador del hogar (033)",177,13,110,30,20,4
"Desocupado (035)",506,18,297,119,61,11
"Hombres (036)",3719,78,1409,1292,789,151
"Empleado (037)",821,3,241,360,202,15
"Obrero (038)",749,13,380,235,109,12
"Trabajador independiente (039)",1454,6,430,523,386,109
"Empleador o patrono (040)",52,,17,21,13,1
"Trabajador familiar no remunerado (041)",217,42,96,51,23,5
"Trabajador del hogar (042)",38,3,22,9,4,
"Desocupado (044)",388,11,223,93,52,9
"Mujeres (045)",1651,42,641,607,312,49
"Empleado (046)",487,2,174,223,83,5
"Obrero (047)",69,3,30,19,14,3
"Trabajador independiente (048)",639,6,216,256,139,22
"Empleador o patrono (049)",14,,6,6,1,1
"Trabajador familiar no remunerado (050)",185,14,53,56,50,12
"Trabajador del hogar (051)",139,10,88,21,16,4
"Desocupado (053)",118,7,74,26,9,2
,,,,,,
"RURAL (054)",12506,456,5162,3685,2581,622
"Empleado (055)",640,2,233,287,115,3
"Obrero (056)",1144,60,666,271,136,11
"Trabajador independiente (057)",7076,8,2315,2375,1854,524
"Empleador o patrono (058)",91,,40,31,18,2
"Trabajador familiar no remunerado (059)",2940,345,1549,578,402,66
"Trabajador del hogar (060)",80,3,50,19,6,2
"Desocupado (062)",535,38,309,124,50,14
"Hombres (063)",9676,300,4034,2862,1984,496
"Empleado (064)",458,1,164,201,89,3
"Obrero (065)",988,40,597,229,114,8
"Trabajador independiente (066)",6196,3,1927,2149,1668,449
"Empleador o patrono (067)",86,,36,30,18,2
"Trabajador familiar no remunerado (068)",1488,232,1051,142,44,19
"Trabajador del hogar (069)",16,,8,4,2,2
"Desocupado (071)",444,24,251,107,49,13
"Mujeres (072)",2830,156,1128,823,597,126
"Empleado (073)",182,1,69,86,26,
"Obrero (074)",156,20,69,42,22,3
"Trabajador independiente (075)",880,5,388,226,186,75
"Empleador o patrono (076)",5,,4,1,,
"Trabajador familiar no remunerado (077)",1452,113,498,436,358,47
"Trabajador del hogar (078)",64,3,42,15,4,
"Desocupado (080)",91,14,58,17,1,1
