"CUADRO Nº 7: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PADECIMIENTO DE ALGUNA DIFICULTAD O LIMITACIÓN FÍSICA O MENTAL PERMANENTE DE ALGÚN MIEMBRO DEL HOGAR, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISCAPACIDAD FÍSICA O MENTAL",,,,,"NINGUNA PERSONA CON DISCAPACIDAD"
,,"PARA VER, AÚN USANDO LENTES","PARA OÍR, AÚN USANDO AUDÍ-FONOS PARA SORDERA","PARA HABLAR (ENTONAR / VOCALIZAR)","PARA USAR BRAZOS Y MANOS / PIERNAS Y PIES","ALGUNA OTRA DIFICULTAD O LIMITACIÓN",
,,,,,,,
"Provincia SANTA",,,,,,,
"Hogares (001)",95635,7085,1168,1036,2216,2854,82674
"Ocupantes presentes (002)",392074,30522,5020,5207,10267,13555,333873
"Casa independiente",,,,,,,
"Hogares (004)",90017,6839,1117,988,2136,2748,77541
"Ocupantes presentes (005)",373504,29657,4854,4996,9965,13139,317108
"Departamento en edificio",,,,,,,
"Hogares (007)",1033,79,10,8,12,16,921
"Ocupantes presentes (008)",3342,274,33,32,53,74,2914
"Vivienda en quinta",,,,,,,
"Hogares (010)",508,29,2,4,16,15,448
"Ocupantes presentes (011)",1734,104,4,17,58,49,1519
"Vivienda en casa de vecindad",,,,,,,
"Hogares (013)",397,21,7,6,11,10,348
"Ocupantes presentes (014)",1408,83,32,23,40,41,1213
"Choza o cabaña",,,,,,,
"Hogares (016)",352,3,5,1,2,13,328
"Ocupantes presentes (017)",1053,17,13,7,5,42,969
"Vivienda improvisada",,,,,,,
"Hogares (019)",3192,107,26,28,36,50,2963
"Ocupantes presentes (020)",10701,370,81,126,132,196,9851
"Local no dest.para hab. humana",,,,,,,
"Hogares (022)",127,7,1,1,3,2,116
"Ocupantes presentes (023)",297,17,3,6,14,14,264
"Otro tipo",,,,,,,
"Hogares (025)",9,,,,,,9
"Ocupantes presentes (026)",35,,,,,,35
,,,,,,,
URBANA,,,,,,,
"Hogares (028)",89013,6895,1100,961,2111,2710,76598
"Ocupantes presentes (029)",366116,29738,4759,4864,9813,12952,310205
"Casa independiente",,,,,,,
"Hogares (031)",83750,6652,1054,914,2033,2617,71796
"Ocupantes presentes (032)",348607,28890,4606,4660,9516,12578,294417
"Departamento en edificio",,,,,,,
"Hogares (034)",1033,79,10,8,12,16,921
"Ocupantes presentes (035)",3342,274,33,32,53,74,2914
"Vivienda en quinta",,,,,,,
"Hogares (037)",508,29,2,4,16,15,448
"Ocupantes presentes (038)",1734,104,4,17,58,49,1519
"Vivienda en casa de vecindad",,,,,,,
"Hogares (040)",397,21,7,6,11,10,348
"Ocupantes presentes (041)",1408,83,32,23,40,41,1213
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Hogares (046)",3192,107,26,28,36,50,2963
"Ocupantes presentes (047)",10701,370,81,126,132,196,9851
"Local no dest.para hab. humana",,,,,,,
"Hogares (049)",124,7,1,1,3,2,113
"Ocupantes presentes (050)",289,17,3,6,14,14,256
"Otro tipo",,,,,,,
"Hogares (052)",9,,,,,,9
"Ocupantes presentes (053)",35,,,,,,35
,,,,,,,
RURAL,,,,,,,
"Hogares (055)",6622,190,68,75,105,144,6076
"Ocupantes presentes (056)",25958,784,261,343,454,603,23668
"Casa independiente",,,,,,,
"Hogares (058)",6267,187,63,74,103,131,5745
"Ocupantes presentes (059)",24897,767,248,336,449,561,22691
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Hogares (070)",352,3,5,1,2,13,328
"Ocupantes presentes (071)",1053,17,13,7,5,42,969
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Hogares (076)",3,,,,,,3
"Ocupantes presentes (077)",8,,,,,,8
"Otro tipo",,,,,,,
