"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia LIMA (000)",120969,26405,94564
"Sin nivel (001)",1360,207,1153
"Educación inicial (002)",131,29,102
"Primaria (003)",10967,1759,9208
"Secundaria (004)",56660,14625,42035
"Superior no univ. incompleta (005)",12854,2856,9998
"Superior no univ. completa (006)",13792,2103,11689
"Superior univ. incompleta (007)",10578,2745,7833
"Superior univ. completa (008)",14627,2081,12546
"Hombres (010)",70053,13725,56328
"Sin nivel (011)",610,87,523
"Educación inicial (012)",76,17,59
"Primaria (013)",6642,804,5838
"Secundaria (014)",35548,8217,27331
"Superior no univ. incompleta (015)",6891,1393,5498
"Superior no univ. completa (016)",6408,854,5554
"Superior univ. incompleta (017)",6279,1439,4840
"Superior univ. completa (018)",7599,914,6685
"Mujeres (020)",50916,12680,38236
"Sin nivel (021)",750,120,630
"Educación inicial (022)",55,12,43
"Primaria (023)",4325,955,3370
"Secundaria (024)",21112,6408,14704
"Superior no univ. incompleta (025)",5963,1463,4500
"Superior no univ. completa (026)",7384,1249,6135
"Superior univ. incompleta (027)",4299,1306,2993
"Superior univ. completa (028)",7028,1167,5861
,,,
"AREA URBANA (030)",120863,26389,94474
"Sin nivel (031)",1347,207,1140
"Educación inicial (032)",130,29,101
"Primaria (033)",10942,1756,9186
"Secundaria (034)",56612,14616,41996
"Superior no univ. incompleta (035)",12848,2855,9993
"Superior no univ. completa (036)",13789,2103,11686
"Superior univ. incompleta (037)",10573,2743,7830
"Superior univ. completa (038)",14622,2080,12542
"Hombres (040)",69975,13715,56260
"Sin nivel (041)",601,87,514
"Educación inicial (042)",75,17,58
"Primaria (043)",6625,802,5823
"Secundaria (044)",35509,8212,27297
"Superior no univ. incompleta (045)",6887,1392,5495
"Superior no univ. completa (046)",6406,854,5552
"Superior univ. incompleta (047)",6276,1438,4838
"Superior univ. completa (048)",7596,913,6683
"Mujeres (050)",50888,12674,38214
"Sin nivel (051)",746,120,626
"Educación inicial (052)",55,12,43
"Primaria (053)",4317,954,3363
"Secundaria (054)",21103,6404,14699
"Superior no univ. incompleta (055)",5961,1463,4498
"Superior no univ. completa (056)",7383,1249,6134
"Superior univ. incompleta (057)",4297,1305,2992
"Superior univ. completa (058)",7026,1167,5859
,,,
"AREA RURAL (060)",106,16,90
"Sin nivel (061)",13,,13
"Educación inicial (062)",1,,1
"Primaria (063)",25,3,22
"Secundaria (064)",48,9,39
"Superior no univ. incompleta (065)",6,1,5
"Superior no univ. completa (066)",3,,3
"Superior univ. incompleta (067)",5,2,3
"Superior univ. completa (068)",5,1,4
"Hombres (070)",78,10,68
"Sin nivel (071)",9,,9
"Educación inicial (072)",1,,1
"Primaria (073)",17,2,15
"Secundaria (074)",39,5,34
"Superior no univ. incompleta (075)",4,1,3
"Superior no univ. completa (076)",2,,2
"Superior univ. incompleta (077)",3,1,2
"Superior univ. completa (078)",3,1,2
"Mujeres (080)",28,6,22
"Sin nivel (081)",4,,4
"Primaria (083)",8,1,7
"Secundaria (084)",9,4,5
"Superior no univ. incompleta (085)",2,,2
"Superior no univ. completa (086)",1,,1
"Superior univ. incompleta (087)",2,1,1
"Superior univ. completa (088)",2,,2
