"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUANTA (000)",32266,92304,80030,,1827,86.7,2
"De 12 a 14 años (001)",3808,25,24,,7,96,28
"De 15 a 19 años (002)",4494,1028,1008,268,98.1,26.1,
"De 20 a 24 años (003)",3786,3916,3818,420,97.5,10.7,
"De 25 a 29 años (004)",3329,6680,6458,389,96.7,5.8,
"De 30 a 34 años (005)",2997,9225,8786,339,95.2,3.7,
"De 35 a 39 años (006)",2605,10144,9499,218,93.6,2.1,
"De 40 a 44 años (007)",2372,11513,10446,144,90.7,1.3,
"De 45 a 49 años (008)",1937,10382,9099,42,87.6,0.4,
"De 50 y más años (009)",6938,39391,30892,,78.4,,
"PEA (010)",9037,26999,23935,457,88.7,1.7,
"De 12 a 14 años (011)",156,4,4,1,100,25,
"De 15 a 19 años (012)",797,242,240,52,99.2,21.5,
"De 20 a 24 años (013)",1253,1154,1125,101,97.5,8.8,
"De 25 a 29 años (014)",1264,1971,1914,94,97.1,4.8,
"De 30 a 34 años (015)",1114,2838,2694,111,94.9,3.9,
"De 35 a 39 años (016)",1020,3408,3222,54,94.5,1.6,
"De 40 a 44 años (017)",923,4005,3675,37,91.8,0.9,
"De 45 a 49 años (018)",772,3818,3341,7,87.5,0.2,
"De 50 y más años (019)",1738,9559,7720,,80.8,,
"Ocupada (020)",8638,26317,23321,434,88.6,1.6,
"De 12 a 14 años (021)",150,4,4,1,100,25,
"De 15 a 19 años (022)",717,231,229,48,99.1,20.8,
"De 20 a 24 años (023)",1173,1118,1091,97,97.6,8.7,
"De 25 a 29 años (024)",1185,1886,1830,88,97,4.7,
"De 30 a 34 años (025)",1064,2731,2592,105,94.9,3.8,
"De 35 a 39 años (026)",986,3298,3119,52,94.6,1.6,
"De 40 a 44 años (027)",898,3919,3592,36,91.7,0.9,
"De 45 a 49 años (028)",752,3716,3253,7,87.5,0.2,
"De 50 y más años (029)",1713,9414,7611,,80.8,,
"Desocupada (030)",399,682,614,23,90,3.4,
"De 12 a 14 años (031)",6,,,,,,
"De 15 a 19 años (032)",80,11,11,4,100,36.4,
"De 20 a 24 años (033)",80,36,34,4,94.4,11.1,
"De 25 a 29 años (034)",79,85,84,6,98.8,7.1,
"De 30 a 34 años (035)",50,107,102,6,95.3,5.6,
